,1m,3m,YTD,1yr,3yr,5yr,10yr,Since launch
Sample,3.76%,1.73%,11.57%,11.57%,35.60%,89.16%,89.16%,89.16%
Market,-1.19%,-4.99%,1.45%,1.45%,-3.58%,19.85%,19.85%,19.85%
High transformation,3.44%,0.66%,9.12%,9.12%,30.77%,87.69%,87.69%,87.69%
High preparation,4.24%,3.52%,11.58%,11.58%,35.73%,100.94%,100.94%,100.94%
High advocacy,2.54%,-0.21%,10.09%,10.09%,36.41%,80.64%,80.64%,80.64%
Low advocacy,4.04%,2.97%,11.03%,11.03%,33.05%,95.91%,95.91%,95.91%
