,Low pdvocacy,High pdvocacy,Low Prep,High Prep,Low transf,High transf,Sector equal split transf
alpha,0.33,0.37,0.42,0.28,0.42,0.3,-0.09
beta_mkt,0.58,0.68,0.62,0.62,0.67,0.54,0.08
beta_smb,-0.19,-0.63,-0.53,-0.19,-0.53,-0.21,-0.02
beta_hml,0.05,0.08,0.07,0.01,0.03,0.04,0.01
p-value(alpha),0.39,0.3,0.24,0.45,0.24,0.45,0.11
p-value(beta_mkt),0.0,0.0,0.0,0.0,0.0,0.0,0.0
p-value(beta_smb),0.38,0.0,0.01,0.37,0.0,0.34,0.56
p-value(beta_hml),0.68,0.59,0.57,0.95,0.86,0.76,0.52
Adj. R^2,0.25,0.34,0.28,0.28,0.33,0.21,0.23
