,1m,3m,YTD,1yr,3yr,5yr,10yr,Since launch
Sample,2.69%,1.34%,12.70%,12.70%,37.66%,56.74%,81.96%,81.96%
Market,-1.19%,-4.99%,1.45%,1.45%,-3.58%,9.31%,38.24%,38.24%
High esg_refinitive,4.38%,5.04%,18.63%,18.63%,52.90%,80.57%,117.47%,117.47%
High transformation,1.90%,-1.43%,11.42%,11.42%,35.45%,50.02%,69.01%,69.01%
High preparation,2.91%,5.03%,15.57%,15.57%,36.22%,61.14%,97.18%,97.18%
