,1m,3m,YTD,1yr,3yr,5yr,10yr,Since launch
Sample,3.90%,2.86%,17.84%,17.84%,49.76%,73.03%,73.43%,73.43%
Market,-0.82%,-3.87%,6.78%,6.78%,7.93%,22.95%,29.35%,29.35%
High Advocacy_employees,2.65%,2.05%,9.66%,9.66%,40.94%,60.29%,60.73%,60.73%
High Upskilling_employees,4.20%,1.74%,16.32%,16.32%,43.07%,69.86%,68.88%,68.88%
High Adaptation-change_employees,5.56%,3.74%,21.36%,21.36%,47.92%,68.90%,67.56%,67.56%
High Innovation_employees,5.87%,6.25%,17.37%,17.37%,42.78%,58.81%,67.60%,67.60%
Low Advocacy_employees,5.33%,4.09%,25.70%,25.70%,51.77%,66.67%,63.73%,63.73%
