,1m,3m,YTD,1yr,3yr,5yr,10yr,Since launch
Sample,3.90%,2.86%,17.84%,17.84%,49.76%,73.12%,92.05%,92.05%
Market,-0.82%,-3.87%,6.78%,6.78%,7.93%,22.95%,41.16%,41.16%
High Advocacy_employees,2.65%,2.05%,9.66%,9.66%,40.94%,60.70%,82.75%,82.75%
High Upskilling_employees,4.20%,1.74%,16.32%,16.32%,43.07%,68.54%,84.65%,84.65%
High Adaptation-change_employees,5.56%,3.74%,21.36%,21.36%,47.92%,68.90%,87.92%,87.92%
High Innovation_employees,5.87%,6.25%,17.37%,17.37%,42.78%,58.81%,126.77%,126.77%
Low Advocacy_employees,5.33%,4.09%,25.70%,25.70%,51.77%,67.21%,82.27%,82.27%
