,Sharpe,VaR 1%,Max Drawdown,Alpha,p-value(alpha)
Market,0.75,-10.14%,-27.59%,,
Low transformation,0.70,-10.25%,-25.29%,0.34,0.090
Low preparation,0.76,-10.29%,-25.56%,0.36,0.060
Low advocacy,0.69,-10.59%,-27.74%,0.29,0.160
