,1m,3m,YTD,1yr,3yr,5yr,10yr,Since launch
Market,-2.48%,15.97%,-11.25%,-11.25%,21.81%,29.93%,94.19%,94.19%
High transformation,-3.15%,15.61%,-13.40%,-13.40%,21.82%,31.67%,99.94%,99.94%
High esg_refinitive,-2.88%,16.29%,-13.26%,-13.26%,11.79%,10.86%,69.22%,69.22%
Sector equal split transformation,-2.44%,15.35%,-12.71%,-12.71%,20.46%,34.21%,111.97%,111.97%
