,Sharpe,VaR 1%,Max Drawdown,Alpha,p-value(alpha)
Sample,0.53,-11.44%,-28.36%,0.40,0.170
Market,0.24,-9.36%,-29.34%,,
High transformation,0.52,-11.19%,-29.29%,0.38,0.180
High preparation,0.54,-11.48%,-30.90%,0.38,0.220
High advocacy,0.54,-11.77%,-24.45%,0.44,0.140
Low advocacy,0.52,-11.55%,-31.47%,0.37,0.220
