,1m,3m,YTD,1yr,3yr,5yr,10yr,Since launch
Sample,4.08%,2.05%,11.92%,11.92%,37.97%,59.75%,122.33%,287.13%
Market,-1.19%,-4.99%,1.45%,1.45%,-3.58%,9.31%,59.76%,91.66%
High transformation,3.66%,0.41%,9.52%,9.52%,32.46%,55.71%,122.18%,224.55%
High preparation,4.40%,3.50%,12.21%,12.21%,39.15%,66.20%,62.67%,162.12%
High advocacy,2.63%,0.43%,11.45%,11.45%,38.58%,53.44%,60.76%,126.81%
Low advocacy,4.21%,2.75%,10.75%,10.75%,32.06%,59.86%,116.16%,243.73%
