,Sharpe,VaR 1%,Max Drawdown,Alpha,p-value(alpha)
Market,0.53,-10.99%,-28.33%,,
High transformation,0.58,-10.75%,-25.28%,0.23,0.020
High preparation,0.42,-10.90%,-31.01%,0.03,0.750
High advocacy,0.55,-11.32%,-29.21%,0.22,0.030
