,1m,3m,YTD,1yr,3yr,5yr,10yr,Since launch
Sample,4.03%,2.88%,17.21%,17.21%,51.05%,73.84%,160.91%,264.25%
Market,-0.82%,-3.87%,6.78%,6.78%,7.93%,22.95%,88.74%,97.76%
High advocacy,2.66%,1.49%,18.63%,18.63%,48.70%,59.69%,136.95%,210.74%
High preparation,4.65%,5.40%,19.94%,19.94%,56.80%,85.38%,170.11%,259.21%
High transformation,4.42%,1.92%,14.89%,14.89%,41.45%,68.19%,137.13%,222.62%
Low advocacy,5.35%,3.42%,17.08%,17.08%,53.59%,84.35%,178.45%,286.66%
