,Sharpe,VaR 1%,Max Drawdown,Alpha,p-value(alpha)
Market,0.70,-9.78%,-27.80%,,
High transformation,0.78,-11.04%,-23.09%,0.28,0.010
High preparation,0.66,-10.15%,-27.72%,0.13,0.210
High advocacy,0.67,-10.56%,-32.14%,0.21,0.030
