,Low pdvocacy,High pdvocacy,Low Prep,High Prep,Low transf,High transf,Sector equal split transf
alpha,0.1,0.12,0.2,-0.01,0.12,0.15,0.22
beta_mkt,1.09,1.13,1.07,1.13,1.12,1.08,1.0
beta_smb,0.06,0.16,0.09,0.17,0.15,0.03,-0.01
beta_hml,0.14,0.26,0.17,0.22,0.27,0.15,0.06
p-value(alpha),0.37,0.2,0.04,0.96,0.22,0.17,0.05
p-value(beta_mkt),0.0,0.0,0.0,0.0,0.0,0.0,0.0
p-value(beta_smb),0.31,0.02,0.14,0.01,0.02,0.63,0.83
p-value(beta_hml),0.0,0.0,0.0,0.0,0.0,0.0,0.1
Adj. R^2,0.95,0.96,0.96,0.96,0.96,0.95,0.94
