,1m,3m,YTD,1yr,3yr,5yr,10yr,Since launch
Market,2.60%,1.37%,11.77%,11.77%,34.27%,62.16%,131.93%,159.41%
High transformation,2.01%,1.81%,12.13%,12.13%,36.06%,57.46%,122.45%,145.33%
High preparation,2.38%,4.30%,14.02%,14.02%,34.07%,67.31%,115.54%,145.84%
High advocacy,1.46%,-2.16%,12.66%,12.66%,28.67%,53.61%,122.09%,131.38%
