,1m,3m,YTD,1yr,3yr,5yr,10yr,Since launch
Sample,3.70%,1.66%,11.58%,11.58%,35.98%,38.81%,38.81%,38.81%
Market,-1.19%,-4.99%,1.45%,1.45%,-3.58%,-3.40%,-3.40%,-3.40%
High Advocacy,1.95%,-0.85%,9.35%,9.35%,35.02%,35.05%,35.05%,35.05%
High Upskilling,4.22%,4.35%,17.75%,17.75%,42.15%,46.71%,46.71%,46.71%
High Measurement,4.85%,3.00%,15.15%,15.15%,41.91%,47.00%,47.00%,47.00%
High Adaptation-change,4.23%,1.61%,7.80%,7.80%,24.32%,27.31%,27.31%,27.31%
High Innovation,3.27%,0.89%,10.97%,10.97%,36.62%,40.23%,40.23%,40.23%
Low Advocacy,4.90%,2.33%,11.22%,11.22%,30.69%,37.15%,37.15%,37.15%
