,Low pdvocacy,High pdvocacy,Low Prep,High Prep,Low transf,High transf,Sector equal split transf
alpha,0.26,0.37,0.44,0.22,0.44,0.39,0.37
beta_mkt,1.05,1.12,1.05,1.07,1.12,1.03,1.0
beta_smb,-0.1,0.15,0.03,0.04,0.17,-0.1,-0.07
beta_hml,0.13,0.24,0.12,0.17,0.23,0.11,0.1
p-value(alpha),0.09,0.02,0.01,0.11,0.01,0.01,0.02
p-value(beta_mkt),0.0,0.0,0.0,0.0,0.0,0.0,0.0
p-value(beta_smb),0.28,0.13,0.72,0.62,0.11,0.27,0.44
p-value(beta_hml),0.01,0.0,0.04,0.0,0.0,0.02,0.03
Adj. R^2,0.89,0.89,0.87,0.91,0.9,0.88,0.88
