,1m,3m,YTD,1yr,3yr,5yr,10yr,Since launch
Market,-5.14%,-5.11%,5.52%,5.52%,6.66%,47.15%,134.49%,132.60%
High transf,-4.71%,-5.65%,4.16%,4.16%,7.34%,52.91%,161.73%,156.67%
Sector equal split transf,-5.52%,-6.08%,4.27%,4.27%,3.95%,44.13%,175.86%,174.03%
MSCI benchmark,-3.06%,-1.56%,11.21%,11.21%,2.52%,39.80%,83.63%,83.13%
Low Transformation,-5.69%,-5.84%,6.41%,6.41%,9.37%,49.09%,128.24%,120.51%
