,Low pdvocacy,High pdvocacy,Low Prep,High Prep,Low transf,High transf,Sector equal split transf
alpha,0.22,0.14,0.41,0.11,0.14,0.49,-0.06
beta_mkt,1.28,1.34,1.33,1.31,1.36,1.26,0.18
beta_smb,0.36,0.34,0.36,0.31,0.31,0.33,0.07
beta_hml,0.81,0.83,0.77,0.81,0.77,0.67,0.09
p-value(alpha),0.5,0.61,0.19,0.72,0.63,0.12,0.22
p-value(beta_mkt),0.0,0.0,0.0,0.0,0.0,0.0,0.0
p-value(beta_smb),0.12,0.06,0.09,0.17,0.11,0.1,0.04
p-value(beta_hml),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adj. R^2,0.72,0.8,0.77,0.75,0.78,0.74,0.71
