,Low pdvocacy,High pdvocacy,Low Prep,High Prep,Low transf,High transf,Sector equal split transf
alpha,0.11,0.21,0.03,0.36,0.22,-0.01,-0.1
beta_mkt,0.84,0.89,0.95,0.84,0.95,0.85,0.12
beta_smb,0.01,-0.01,0.12,0.04,0.05,-0.05,0.02
beta_hml,-0.16,-0.13,-0.12,-0.26,-0.14,-0.18,-0.03
p-value(alpha),0.73,0.43,0.91,0.25,0.43,0.97,0.03
p-value(beta_mkt),0.0,0.0,0.0,0.0,0.0,0.0,0.0
p-value(beta_smb),0.98,0.95,0.48,0.85,0.75,0.81,0.52
p-value(beta_hml),0.26,0.13,0.23,0.03,0.08,0.19,0.1
Adj. R^2,0.52,0.63,0.64,0.54,0.65,0.55,0.53
