,1m,3m,YTD,1yr,3yr,5yr,10yr,Since launch
Market,-0.18%,0.92%,11.68%,11.68%,27.19%,66.81%,152.71%,172.32%
High transformation,-0.02%,0.14%,11.01%,11.01%,27.50%,64.05%,151.04%,175.20%
High preparation,0.62%,2.32%,11.89%,11.89%,24.76%,59.16%,124.16%,142.82%
High advocacy,-1.15%,-0.02%,-0.47%,-0.47%,13.33%,47.51%,129.46%,142.07%
