,Sharpe,VaR 1%,Max Drawdown,Alpha,p-value(alpha)
Market,0.70,-9.78%,-27.80%,,
High transformation,0.83,-10.34%,-22.85%,0.35,0.000
High preparation,0.60,-10.24%,-28.97%,0.05,0.710
High advocacy,0.72,-10.74%,-32.45%,0.27,0.020
Sector equal split transformation,0.81,-10.14%,-20.68%,0.29,0.020
