,Sharpe,VaR 1%,Max Drawdown,Alpha,p-value(alpha)
Market,0.56,-10.54%,-28.25%,,
Low transformation,0.52,-10.44%,-28.25%,0.10,0.280
Low preparation,0.59,-10.29%,-28.25%,0.19,0.040
Low advocacy,0.54,-11.00%,-26.76%,0.09,0.320
