,1m,3m,YTD,1yr,3yr,5yr,10yr,Since launch
Market,3.05%,2.58%,12.28%,12.28%,39.12%,58.66%,126.13%,151.65%
Low transformation,2.43%,3.57%,10.69%,10.69%,41.22%,49.06%,133.23%,152.78%
Low preparation,2.27%,1.60%,11.48%,11.48%,40.89%,59.15%,112.47%,129.26%
Low advocacy,3.69%,5.06%,15.64%,15.64%,32.29%,51.39%,110.04%,132.84%
