,1m,3m,YTD,1yr,3yr,5yr,10yr,Since launch
Market,-3.78%,1.72%,2.55%,2.55%,16.90%,8.75%,78.85%,78.85%
High transformation,-3.90%,-0.31%,4.27%,4.27%,17.55%,6.57%,67.44%,67.44%
High esg_refinitive,-4.68%,2.97%,3.33%,3.33%,21.47%,13.61%,86.56%,86.56%
High esg_sp,-4.06%,3.39%,2.89%,2.89%,23.75%,15.68%,80.42%,80.42%
