,Sharpe,VaR 1%,Max Drawdown,Alpha,p-value(alpha)
Sample,0.79,-8.85%,-21.74%,0.59,0.070
Market,0.30,-9.56%,-29.34%,,
High transformation,0.79,-8.91%,-22.16%,0.59,0.060
High preparation,0.81,-10.03%,-23.76%,0.60,0.100
High advocacy,0.72,-8.21%,-19.92%,0.55,0.100
Low advocacy,0.80,-9.65%,-23.48%,0.59,0.090
