,Sharpe,VaR 1%,Max Drawdown,Alpha,p-value(alpha)
Sample,0.67,-11.09%,-24.61%,0.39,0.170
Market,0.40,-9.18%,-28.93%,,
High Advocacy_employees,0.62,-10.25%,-24.12%,0.35,0.220
High Upskilling_employees,0.63,-10.58%,-25.73%,0.33,0.240
High Adaptation-change_employees,0.65,-11.39%,-22.12%,0.36,0.220
High Innovation_employees,0.71,-13.26%,-32.48%,0.57,0.170
Low Advocacy_employees,0.61,-10.80%,-26.83%,0.29,0.310
