,1m,3m,YTD,1yr,3yr,5yr,10yr,Since launch
Market,-1.76%,-10.59%,-4.54%,-4.54%,-6.52%,22.11%,83.60%,67.05%
High transformation,-0.96%,-11.75%,-8.63%,-8.63%,-10.68%,11.31%,63.45%,49.57%
High preparation,-2.50%,-13.14%,-8.00%,-8.00%,-10.65%,9.33%,50.39%,38.11%
High advocacy,-2.58%,-11.83%,-8.05%,-8.05%,-5.22%,28.07%,79.02%,57.29%
