,Sharpe,VaR 1%,Max Drawdown,Alpha,p-value(alpha)
Sample,0.80,-11.30%,-27.56%,0.51,0.040
Market,0.47,-9.08%,-29.34%,,
High transformation,0.84,-10.71%,-31.87%,0.51,0.060
High preparation,0.63,-12.39%,-32.60%,0.42,0.140
High advocacy,0.56,-10.82%,-26.37%,0.36,0.190
Low advocacy,0.76,-12.03%,-28.50%,0.52,0.060
