,1m,3m,YTD,1yr,3yr,5yr,10yr,Since launch
Sample,3.67%,1.71%,11.49%,11.49%,35.42%,55.09%,65.65%,65.65%
Market,-1.19%,-4.99%,1.45%,1.45%,-3.58%,9.31%,20.08%,20.08%
High transformation,3.07%,-0.36%,7.73%,7.73%,25.46%,45.35%,55.61%,55.61%
High preparation,4.02%,3.80%,12.56%,12.56%,37.71%,62.87%,73.73%,73.73%
High advocacy,2.19%,-0.57%,10.40%,10.40%,34.21%,42.79%,65.76%,65.76%
Low advocacy,4.55%,2.84%,11.13%,11.13%,33.92%,61.35%,73.22%,73.22%
