,Sharpe,VaR 1%,Max Drawdown,Alpha,p-value(alpha)
Market,0.86,-9.25%,-24.13%,,
High transformation,1.01,-10.32%,-21.22%,0.36,0.000
High preparation,0.81,-10.54%,-25.00%,0.10,0.440
High advocacy,0.86,-10.92%,-31.13%,0.23,0.060
Low advocacy,0.89,-11.04%,-22.00%,0.17,0.110
