,Low advocacy,High advocacy,Low preparation,High preparation,Low transformation,High transformation
alpha,0.17,0.23,0.18,0.1,0.28,0.36
beta_mkt,1.01,1.03,1.01,1.02,1.04,1.0
beta_smb,-0.01,0.13,0.13,0.07,0.13,0.08
beta_hml,0.24,0.29,0.2,0.21,0.27,0.2
p-value(alpha),0.11,0.06,0.19,0.44,0.01,0.0
p-value(beta_mkt),0.0,0.0,0.0,0.0,0.0,0.0
p-value(beta_smb),0.91,0.01,0.02,0.23,0.01,0.13
p-value(beta_hml),0.0,0.0,0.0,0.0,0.0,0.0
Adj. R^2,0.93,0.91,0.9,0.92,0.93,0.92
