,1m,3m,YTD,1yr,3yr,5yr,10yr,Since launch
Market,-3.08%,2.82%,23.92%,23.92%,26.43%,91.86%,199.36%,199.36%
High transformation,-6.66%,-0.05%,17.66%,17.66%,29.61%,106.56%,276.24%,276.24%
High preparation,-6.98%,-1.05%,16.76%,16.76%,26.98%,79.70%,162.60%,162.60%
Low advocacy,-6.45%,-0.06%,18.86%,18.86%,34.07%,89.81%,209.96%,209.96%
Low transformation,-7.45%,0.83%,21.65%,21.65%,40.48%,91.87%,201.87%,201.87%
