,Sharpe,VaR 1%,Max Drawdown,Alpha,p-value(alpha)
Market,0.88,-9.33%,-24.13%,,
High transformation,0.99,-10.02%,-21.87%,0.37,0.000
High preparation,0.72,-10.75%,-27.82%,-0.00,0.980
Low advocacy,0.87,-11.04%,-23.97%,0.18,0.110
Low transformation,0.80,-10.37%,-28.49%,0.16,0.190
