date,High transformation,High preparation,Low advocacy,Low transformation
2019-10-31,0.4656823273679103,-0.14703389029270442,0.23086173719524322,0.14744667828505342
2019-11-29,0.4430243699051585,-0.1669943304462268,0.203554353730048,0.1282787751940272
2019-12-31,0.4560968043873883,-0.16406777923224913,0.22156837359992865,0.12679740020334407
2020-01-31,0.45333805691054724,-0.21762064128076541,0.20901692802515554,0.09239391557233267
2020-02-28,0.43755056628955713,-0.24919285958046655,0.17871641702100316,0.004881127610522951
2020-03-31,0.45519683257156707,-0.14262956420173123,0.19082405553712112,-0.08904171212373224
2020-04-30,0.4862281038005426,-0.10762978500636244,0.18668472423654858,-0.10475842579208616
2020-05-29,0.4927875844399071,-0.11693796433709613,0.1952908268027983,-0.12252313873683207
2020-06-30,0.5109707897163724,-0.16186540940522132,0.20111911985648634,-0.15936449990329304
2020-07-31,0.45493028203536345,-0.1874948054630965,0.18030464976346194,-0.14595609182269298
2020-08-31,0.4572423311777044,-0.17655441805055516,0.18457490954241396,-0.1490409300472112
2020-09-30,0.5100212277417487,-0.11725005308516923,0.23563618358211214,-0.11928832118782196
2020-10-30,0.6567458413552135,-0.04460313992046172,0.28045587805330086,-0.06861367304424404
2020-11-30,0.7086490892893351,-0.008636177516970434,0.3011692587862206,-0.06364366836323998
2020-12-31,0.6788031183862681,-0.04802343561032962,0.2481121477675975,-0.10306918467973436
2021-01-29,0.604538943946499,-0.10408257030832724,0.20758618093878267,-0.12770378609438882
2021-02-26,0.5858526226649805,-0.08767877256277778,0.2314650065066471,-0.1835914924756813
2021-03-31,0.6082264876122162,-0.03221450871708609,0.28790416030350396,-0.1451827380586167
2021-04-30,0.6230482602718082,-0.03145162448210681,0.28660350933771983,-0.14713705627318852
2021-05-28,0.5691216188904735,-0.0021909031379878097,0.23374709561483648,-0.12786693258297332
2021-06-30,0.5622414922659832,-0.029758997474233273,0.22584653020051326,-0.21333139638339704
2021-07-30,0.5459979560811375,-0.06323780458033251,0.20562979226273265,-0.2912205430758599
2021-08-31,0.5963856849244276,-0.030188700034281757,0.25684445121018024,-0.24889363784006782
2021-09-30,0.5513246787719087,-0.031761320748296684,0.23366576012342516,-0.27291703038935966
2021-10-29,0.5258634396312275,-0.0520251029363305,0.19223342568516608,-0.2786319382430618
2021-11-30,0.4659866579436521,-0.062177392221844666,0.15569466030193582,-0.2523964017229975
2021-12-31,0.5343016041789452,-0.051949061311064956,0.17797270329021,-0.2393369505202283
2022-01-31,0.48516411290292616,-0.10736406573974461,0.12238622782282477,-0.28749813861105755
2022-02-28,0.4791430016344893,-0.020748342349258986,0.19815058646522415,-0.12170509104067262
2022-03-31,0.42392752667495626,-0.07580503433094099,0.15335345966423786,-0.14249408207544534
2022-04-29,0.4930644943501605,-0.05297376542325849,0.19817413406295598,-0.10772328709128215
2022-05-31,0.4600112532829558,-0.05819106676504071,0.16624865829742363,-0.06540270821123673
2022-06-30,0.3730961620419336,-0.09148222275641868,0.002114477993773456,-0.0743174147095153
2022-07-29,0.41853492618678817,-0.0694354470364816,0.05606488070978563,-0.03896914136641785
2022-08-31,0.4307014777135433,-0.03246331946989896,0.10503959736724282,-0.05313839129630417
2022-09-30,0.40771756361361605,0.0031759060220495072,0.07837267728933263,0.012934208794009222
2022-10-31,0.41846281348464043,-0.021255956346322352,0.09174500391014574,-0.05565881004844579
2022-11-30,0.41310356786080993,-0.030809048657747987,0.07772348316016923,-0.0222256165384849
2022-12-30,0.37081055443525746,-0.0007908075342378806,0.09161897425777187,-0.017747137001453805
2023-01-31,0.4097571203541052,0.013731444049979863,0.10434250783570376,0.018708820133498533
2023-02-28,0.4094151692761989,0.061139880397666685,0.12690873101429495,0.05073997505909332
2023-03-31,0.39497893065357814,0.0518917452510993,0.13142968191594695,0.035920200811748154
2023-04-28,0.39586810594189714,0.04547438135475909,0.10512308302185289,-0.00403514279464387
2023-05-31,0.35424847941758464,0.036725071027168404,0.09872352333523945,-0.021050179157518042
2023-06-30,0.38202747366600665,0.1472168126596443,0.21182688893661206,0.05066379018604958
2023-07-31,0.24270280131934874,0.03891029293131282,0.06027817772703081,0.03399953448889004
2023-08-31,0.2660858679541138,0.036914788569442025,0.09950027186482768,0.09604079112341385
2023-09-29,0.20987536893840214,-0.024648206472685286,0.08429900727279473,0.03554127835856591
2023-10-31,0.16073030385338297,0.03333528620144485,0.05525416990786691,0.10636750101635484
2023-11-30,0.15896872806466297,0.014581941331354153,0.05937780545273674,0.09637999174010387
2023-12-29,0.2117752430685769,0.05892580402264502,0.09503654621889085,0.12863131072458067
2024-01-31,0.1023372129078843,-0.05192514057573125,-0.011309923917605769,0.06099361117066915
2024-02-29,0.0860376364796114,-0.05110306889807151,-0.0014866528521716438,0.07053843995046108
2024-03-28,0.1152484808261531,-0.06378940586362034,0.032018214363174924,0.09664453181653704
2024-04-30,0.1499462447170052,-0.010632431554926713,0.12240370576917897,0.14264055811660065
2024-05-31,0.18156446296007844,0.10046008356548902,0.19071578328423994,0.2709388054778015
2024-06-28,0.16462479697274812,0.08602437702915566,0.18284199539672086,0.32661345005216236
2024-07-31,0.1521818952734767,0.11894386241695754,0.1810892598240601,0.3292075609225567
2024-08-30,0.1433737695476533,0.10829380882765005,0.16914657725964222,0.3529020068182153
2024-09-30,0.19121166669375805,0.12500722342066373,0.20230387343541434,0.3805617311772186
2024-10-31,0.23052731989503594,0.1656145619081566,0.22147872054603096,0.46938474811843944
2024-11-29,0.19474720392297196,0.13085903588572495,0.18555860283495557,0.4569728103252208
2024-12-31,0.12939492462549218,0.07367972132641376,0.13347851625123397,0.40501240007091854
