date,High customers,High suppliers,High employees,Low communities,High esg_sp
2018-06-29,0.1634361476065714,0.10401737646663652,-0.14601975170811393,0.17404990607130427,0.17060944061126881
2018-07-31,0.1603716748036593,0.11794276413078769,-0.20144123218665877,0.10657059868771113,0.13157087264142647
2018-08-31,0.2509591632320126,0.12485502884218563,-0.1529375992732387,0.1543724732591486,0.19372384236993107
2018-09-28,0.22208253158224095,0.0828723974414192,-0.18783126314481663,0.15235859748892,0.10611714128669408
2018-10-31,0.1356973534198881,-0.3191057169598196,-0.32865647115738417,-0.1688037080935587,-0.02982693598451136
2018-11-30,0.00030200678890579535,-0.18079110236397622,-0.412184759023032,-0.3072765977698757,0.06802052510177448
2018-12-31,-0.047433709748724406,-0.17556060729361445,-0.26554293847387234,-0.1240976843182362,0.13208578756226352
2019-01-31,-0.00948928333100274,-0.09790894638616199,-0.19103648234086434,-0.03814690534743592,0.19731565063874834
2019-02-28,0.03067670912592546,-0.12050488176900354,-0.2154735228465403,-0.03634415617392173,0.21656465834387617
2019-03-29,-0.0042360284046278895,-0.13712118955939823,-0.24153958092639138,-0.069163236105382,0.19327023343287797
2019-04-30,-0.11755222649202046,-0.2181370091236593,-0.3032186024742596,-0.14483042545613112,0.056226856184341645
2019-05-31,-0.025400882610369546,-0.35770380319171874,-0.43977532096664196,-0.2257241807607352,0.01836772332272063
2019-06-28,0.0673442672606912,-0.46866392906810805,-0.4120976899365453,-0.21661667390933537,0.026868297824034992
2019-07-31,0.08233354946799609,-0.4011251388324387,-0.40095938276739806,-0.18529057994179765,-0.07869109953298781
2019-08-30,0.07775974534976227,-0.45735590914991464,-0.3671662577068072,-0.16213787977171012,-0.1535743591394294
2019-09-30,0.18317197773771354,-0.18940128119352484,-0.4906025634862252,-0.2632505513174277,-0.01111832312582528
2019-10-31,0.15836724742051522,-0.22272492770636454,-0.5068003056694939,-0.28406202541859715,-0.03487685378010286
2019-11-29,0.08067991479877812,-0.23000638794200978,-0.6001777491867093,-0.4039201485551212,-0.01389865635298515
2019-12-31,0.03421854318959616,-0.16863167680043833,-0.6001168828771729,-0.4683262379034686,-0.07338148685507062
2020-01-31,0.020007018756328432,-0.1663905070095537,-0.5819569300151084,-0.46253003353490885,-0.07935557853530917
2020-02-28,0.03546512220709774,-0.23891412276038437,-0.5677244434871136,-0.4212339828508471,-0.024414277454268274
2020-03-31,0.0006092475340222503,-0.4382984786296684,-0.6164552827627825,-0.5087331568002742,-0.15063884941982342
2020-04-30,-0.03521560195708129,-0.31258721274860646,-0.4847155484004132,-0.5149376313925746,-0.085015522397486
