,1m,3m,YTD,1yr,3yr,5yr,10yr,Since launch
Market,-5.97%,6.93%,-18.87%,-18.87%,23.12%,50.39%,92.10%,92.10%
High customers,-4.96%,10.65%,-5.55%,-5.55%,42.01%,69.50%,129.12%,129.12%
High suppliers,-4.10%,12.58%,-7.02%,-7.02%,21.95%,31.81%,66.98%,66.98%
High employees,-4.64%,10.45%,-8.94%,-8.94%,35.03%,44.03%,90.09%,90.09%
Low communities,-4.91%,12.09%,-6.60%,-6.60%,41.84%,56.00%,116.27%,116.27%
High esg_sp,-4.27%,14.90%,-6.86%,-6.86%,33.74%,52.96%,106.25%,106.25%
