date,High esg_sp,Low esg_sp,High customers,High suppliers,High employees,High communities,Low communities
2019-10-31,-0.012685879602887251,0.11131443968054777,0.15776654274652135,-0.29412972025628925,-0.3088681215181204,0.2974164227463842,-0.029900982260258946
2019-11-29,-0.010501543055662421,0.09688759870548058,0.11239069324705098,-0.31354134113337373,-0.3522205703206248,0.26617669785668896,-0.08599227748556904
2019-12-31,0.0055019880200229965,0.09377033670229429,0.13018617590753656,-0.29533466015013965,-0.33042561761884537,0.28853767874060515,-0.08868501249102168
2020-01-31,-0.020629470080404944,0.0921698784167172,0.1386914807198215,-0.3142997548541114,-0.3475791067286341,0.27233542957764295,-0.07765848771728578
2020-02-28,-0.004705469268417639,0.0007521613310064179,0.09952168163866604,-0.3572491668383232,-0.3535683066480243,0.2251682163025025,-0.09666645668203888
2020-03-31,0.0770220233601493,-0.01496925696065543,-0.017566404839944316,-0.19357437649210096,-0.32688148851528087,0.24110181489714133,-0.2119361400357357
2020-04-30,0.11462894998247575,-0.0022491630795685724,-0.026562678219664626,-0.13112782899834152,-0.2242029703663977,0.22807855496204454,-0.15209916005302604
2020-05-29,0.11425248250431408,-0.043904829923569366,-0.019594668442133645,-0.109814160643804,-0.21602200774856994,0.1965657615320745,-0.14060230724615164
2020-06-30,0.07551771503686167,-0.07926640614021307,-0.016674623314663295,-0.11906348853625137,-0.2502198871911687,0.1845812274530002,-0.14705738255917744
2020-07-31,0.047923624421110644,-0.09641633407094341,-0.033242244861413583,-0.1546533386130492,-0.29134373722619955,0.17653522933465016,-0.17458683574146905
2020-08-31,0.023999837604267826,-0.08542309917478164,-0.06936731626995696,-0.17863158120077605,-0.29898047369158165,0.20692997749101305,-0.17473525785223476
2020-09-30,0.03346581780345326,-0.015720976175209844,-0.02424141387616685,-0.13826847681857168,-0.2206478501064345,0.24213780354624892,-0.1000505216221188
2020-10-30,0.07288824858878906,0.04834355396891987,0.10954057899207803,-0.22698204437897296,-0.06079783762875801,0.37555737917428866,0.02071439662985064
2020-11-30,0.0009524687331488035,0.05460809039626813,0.1275029623916879,-0.2527311282926834,-0.1147184602590996,0.3743038303219597,-0.016056238355968033
2020-12-31,-0.07258846076549408,0.029784476560072326,0.1155814859887373,-0.3024119179601886,-0.14793152157999134,0.37079078657827647,-0.050230265283832454
2021-01-29,-0.0946319237047526,-0.0037542110175914356,0.13848684443436654,-0.2947314097074192,-0.27159753134639,0.3553307213685333,-0.1704365764311625
2021-02-26,0.03174529310541041,0.04418335232341897,0.15261369260173058,-0.35676358548469117,-0.22772139092789231,0.36775994909536575,-0.08097792990009273
2021-03-31,0.10546869732549202,0.08272174050871023,0.1882195875039624,-0.2958039306126616,-0.181346745746932,0.37481815501524235,-0.0013516909526645748
2021-04-30,0.08718032281489718,0.10797758054364681,0.18392772704294003,-0.30349549311726826,-0.18478449482942827,0.3592521064890225,-0.03761058407639167
2021-05-28,0.0942333754766192,0.10050815064649515,0.14901338676099773,-0.28056891035554,-0.1533323446462044,0.3167923180518045,-0.008261096505510102
2021-06-30,0.08862088163532533,0.033355083706063465,0.16128716815519992,-0.33379495007172055,-0.1768215192255019,0.26943072042314076,-0.021708173985448276
2021-07-30,0.03307685868445548,0.018739199748996266,0.1644896650592228,-0.38956080368141355,-0.15976965513752717,0.19824247885472698,-0.0016608014502406676
2021-08-31,0.0769638196355526,0.13192677788336765,0.1803897075537968,-0.34132321308825164,-0.09843488632021263,0.240578719832355,0.030882470867921452
2021-09-30,0.051117328332296263,0.058323774723049865,0.20892084403366423,-0.3514689219187264,-0.045696548671117665,0.19083582659782056,0.09196713677794685
2021-10-29,0.07948247751451296,0.06126368442368123,0.17420856463680262,-0.3823422892458759,-0.044224386179002165,0.212460637887109,0.07236523319754999
2021-11-30,0.048600315811610756,0.13525767231401326,0.14123141966448685,-0.3782722027354361,-0.04779859108222469,0.21089620512630214,0.06289862563460683
2021-12-31,0.07466229625925307,0.16178335764888604,0.15429837094425503,-0.33369379215112166,-0.05680032432113252,0.22247295422257762,0.039567199668483696
2022-01-31,0.057599663043097465,0.06007802226437792,0.1339697665358174,-0.33147257231342303,-0.07096435034440016,0.1532318173956861,0.01500095464967291
2022-02-28,0.0695385581845216,0.17487223012658093,0.23341534921794205,-0.2686088321956649,0.03411485183641755,0.23320122460367942,0.21986988184319195
2022-03-31,0.029485256328380366,0.1344375396161686,0.20475742100517969,-0.3045603793492514,0.08004774367164558,0.16657067405155562,0.2365695674371625
2022-04-29,0.029848365513835295,0.11947271550369687,0.3764617953220554,-0.21907519461930425,0.05116593340776748,0.12803993548978554,0.27514767686529484
2022-05-31,-0.025697835159963267,0.1567157409687625,0.303290538214342,-0.2558782023620484,0.025500361472199362,0.10192556764166522,0.22499520070365403
2022-06-30,-0.08788242155837647,0.12183027616420611,0.24126522171561088,-0.26220711338712355,-0.0117143480622377,0.05627889485279908,0.13360872882548244
2022-07-29,-0.11371352232505917,0.12588653724195917,0.2603908695027446,-0.2818553222155887,-0.00842326089986914,0.06735359494804968,0.16771532648265422
2022-08-31,-0.0328751955137478,0.10655444440014991,0.29674480359175837,-0.2243910508261966,0.032836758581987424,0.06612467771887967,0.1634604558732991
