date,Market,High esg_sp,Low esg_sp,High customers,High suppliers,High employees,High communities,Low communities
2016-07-29,1.0002,1.0002,1.0002,1.0002,1.0002,1.0002,1.0002,1.0002
2016-08-31,1.0047009,0.9953057543852614,1.008655436347429,0.9945131612256763,1.0058071412626592,0.9959440658689002,1.0039976708003195,1.0006133363448197
2016-09-30,1.00831782324,1.0012356400298972,1.0095375402354572,0.9960757833547667,1.0029001976230802,0.99118334722661,1.003924992297576,0.996132386466247
2016-10-31,0.9878489714282281,0.9922864641525867,0.9864801456814918,0.9912442293936327,0.9962354749913177,0.9733288200963722,0.9974149431415003,0.987037905341506
2016-11-30,1.0327960996282126,1.0251515597320875,1.0563985761006833,1.060435547818603,1.0302416115022968,1.0206449103088684,1.0541765135701175,1.061363345993919
2016-12-30,1.0513864294215205,1.037389866311231,1.0797443635040298,1.085735606005775,1.0419604498147963,1.0203124847225875,1.0866398061532259,1.0684947268241156
2017-01-31,1.0742015149399675,1.0595282972183606,1.124265604465408,1.1093945669019811,1.0516935024162164,1.0405082056983657,1.1328914216645627,1.0903365752358405
2017-02-28,1.1094353246299984,1.0963987573816858,1.1418811033909242,1.1383084073450815,1.0948144585988857,1.08667031031014,1.1662284981156834,1.1295350931391288
2017-03-31,1.1120979694091104,1.104260662957052,1.1541100328887324,1.1442844801143557,1.0995555284430987,1.1005961257211436,1.169521120026685,1.143241547653193
2017-04-28,1.1219956413368515,1.122778995787415,1.1610087774243836,1.1762473671143627,1.1138377860096293,1.1143582130405325,1.159508657468386,1.1587863099238804
2017-05-31,1.1331033981860863,1.1481671977704424,1.1799643265310218,1.209110104343263,1.1236280576718682,1.1410525187196396,1.2009477215049469,1.1838862897324278
2017-06-30,1.14500098386704,1.161078268963622,1.193995706099726,1.2132806414128674,1.1504110515023978,1.144709160623289,1.2036678707012132,1.1969307860619405
2017-07-31,1.1683590039379277,1.2108543312951834,1.2015974177923432,1.2386683689422597,1.1573566796192893,1.1792167339490147,1.250060436045066,1.2312994195158842
2017-08-31,1.1701115424438344,1.2356463273607035,1.1961255485004443,1.2405021375659893,1.1668790686540123,1.1784152059067607,1.247409703829248,1.2362538993435865
2017-09-29,1.2001834090846408,1.265725638529564,1.226012533320705,1.2564162415490885,1.197673370290396,1.2314234277519036,1.2636892473565746,1.2879795952229924
2017-10-31,1.2250272056526927,1.286828632833808,1.2465478769019802,1.2867469707499968,1.2222878229801406,1.251281816697483,1.2779452958444173,1.3050872329947587
2017-11-30,1.2612880109400122,1.3312073839243552,1.2984849635422002,1.3392628528602089,1.2645786733626996,1.3029587275243946,1.3150374437889574,1.360952799779595
2017-12-29,1.2773063686789503,1.3483663748724626,1.317476741078573,1.351725104572146,1.2667600888782717,1.3198073413927929,1.3425863451471425,1.3863543963637313
2018-01-31,1.3455145287664063,1.4107567103742558,1.3329418314344739,1.4195183838027563,1.3106104400820733,1.3809824923698943,1.381310399448884,1.4547957463666437
2018-02-28,1.2938467708617762,1.3458844937425831,1.2950212664482652,1.3418097085519634,1.268118517195566,1.3135961726505665,1.3378212927852586,1.37780376563746
2018-03-29,1.2673229120591096,1.3286059787512803,1.289046319087139,1.3092925824329278,1.2528735697236109,1.289492528980371,1.3387329564751187,1.3471082480811951
2018-04-30,1.2735327943281993,1.3195165539369613,1.2716759937424829,1.3201858464715477,1.2396080175622468,1.2765651904310407,1.3293265288629186,1.3511890353544755
2018-05-31,1.3072814133778965,1.3131919595620618,1.304869438520922,1.3285713299938262,1.237568742743958,1.2709081487917218,1.339260517676675,1.3369018459996622
2018-06-29,1.3142100048687995,1.3011427452469628,1.3056772491691668,1.3398829779138923,1.2413613938741386,1.2758582842364161,1.3333991110847894,1.3451020756433487
