,1m,3m,YTD,1yr,3yr,5yr,10yr,Since launch
Market,-0.82%,-3.87%,6.78%,6.78%,7.93%,22.95%,37.03%,37.03%
High communities,1.85%,-0.58%,14.74%,14.74%,44.75%,45.62%,68.20%,68.20%
High employees,3.98%,5.54%,19.45%,19.45%,49.20%,74.78%,98.84%,98.84%
High suppliers,6.10%,4.39%,13.10%,13.10%,39.38%,65.65%,94.55%,94.55%
High shareholders,4.43%,0.91%,16.86%,16.86%,48.40%,85.95%,112.83%,112.83%
High customers,4.60%,2.53%,18.58%,18.58%,57.03%,76.58%,102.79%,102.79%
Low communities,5.02%,4.36%,18.42%,18.42%,46.66%,75.45%,102.69%,102.69%
