,Low communities,High communities,Low employees,High employees,Low suppliers,High suppliers,Low shareholders,High shareholders,Low customers,High customers
alpha,0.6,0.4,0.55,0.55,0.41,0.46,0.5,0.68,0.44,0.68
beta_mkt,0.77,0.69,0.76,0.83,0.65,0.84,0.77,0.8,0.82,0.7
beta_smb,0.08,0.52,0.43,0.14,0.47,-0.01,0.4,0.06,0.27,0.39
beta_hml,0.17,0.31,0.27,0.22,0.31,0.23,0.25,0.15,0.33,0.23
p-value(alpha),0.09,0.24,0.13,0.14,0.25,0.27,0.11,0.07,0.26,0.03
p-value(beta_mkt),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p-value(beta_smb),0.75,0.01,0.03,0.59,0.03,0.96,0.03,0.8,0.24,0.05
p-value(beta_hml),0.2,0.01,0.04,0.1,0.01,0.12,0.03,0.27,0.02,0.04
Adj. R^2,0.49,0.52,0.52,0.52,0.47,0.47,0.58,0.51,0.51,0.54
