,1m,3m,YTD,1yr,3yr,5yr,10yr,Since launch
Market,-3.08%,2.82%,23.92%,23.92%,26.43%,91.86%,199.36%,199.36%
High transformation,-6.17%,0.43%,15.18%,15.18%,31.08%,110.19%,282.35%,282.35%
High preparation,-7.05%,-2.61%,16.50%,16.50%,26.85%,85.91%,173.22%,173.22%
High advocacy,-6.85%,-0.38%,12.66%,12.66%,27.22%,81.36%,181.69%,181.69%
Low advocacy,-6.25%,0.17%,19.27%,19.27%,32.84%,97.06%,206.77%,206.77%
