,Sharpe,VaR 1%,Max Drawdown,Alpha,p-value(alpha)
Market,0.88,-9.33%,-24.13%,,
High transformation,1.01,-10.36%,-21.22%,0.37,0.010
High preparation,0.75,-10.97%,-25.00%,0.00,0.970
High advocacy,0.75,-11.67%,-31.13%,0.08,0.520
Low advocacy,0.86,-11.62%,-22.00%,0.13,0.300
