,Sharpe,VaR 1%,Max Drawdown,Alpha,p-value(alpha)
Market,0.67,-10.40%,-24.13%,,
High transformation,0.93,-11.48%,-20.79%,0.42,0.010
High esg_sp,0.79,-9.93%,-18.27%,0.14,0.290
High preparation,0.63,-12.03%,-25.18%,0.01,0.970
Low advocacy,0.71,-11.92%,-23.31%,0.11,0.420
