date,High transformation,High esg_sp,High preparation,Low advocacy
2019-10-31,0.3472300057918488,-0.05244037578121985,-0.27847530931510234,0.011360944809948315
2019-11-29,0.3289389616066113,-0.06011117836624158,-0.29407129148486577,-0.010097639195854935
2019-12-31,0.3692738514064508,-0.0382424657824465,-0.28036573175391116,0.016398989964881427
2020-01-31,0.37512070590102203,-0.04661862872286299,-0.33384500288216357,-0.005419955355321138
2020-02-28,0.34840880055338597,0.02170345331825352,-0.30146873650808304,-0.006370686307627715
2020-03-31,0.3524760631297654,0.050370730170446354,-0.2428327964898105,-0.017013898963282426
2020-04-30,0.4273401984711155,0.04073512215555275,-0.18612700071690713,0.02780534806483792
2020-05-29,0.43253284934034864,0.0760188480720474,-0.18973187902472,0.04059194923196541
2020-06-30,0.4413299348489993,0.02847582009978744,-0.24189788777594645,0.04403250205454179
2020-07-31,0.39262381140858227,0.023800058449132466,-0.27361322606555694,0.013604215500697014
2020-08-31,0.38623311125239224,0.0065861696818230175,-0.2505252688448881,-0.0007846083878539911
2020-09-30,0.44581442698623885,0.002267537544020648,-0.19720373505434652,0.05198101322619164
2020-10-30,0.6775479645464682,0.06919749158769029,-0.06390558157960902,0.20084693021552036
2020-11-30,0.7169953474049682,0.06076262156829648,-0.08487009762697884,0.2106025139908394
2020-12-31,0.6922559701605269,0.0031954053210044853,-0.12399340792073432,0.18322629389241918
2021-01-29,0.6235080005738742,-0.04388990407422988,-0.21798272477952574,0.17272184033853122
2021-02-26,0.5434430505203496,0.04395181154364458,-0.1811058401149076,0.17495682894177378
2021-03-31,0.5809170628732836,0.11518513456514784,-0.07219280497147607,0.2684354630754012
2021-04-30,0.578462118723354,0.13179202201834855,-0.05604759029867268,0.24984974005242822
2021-05-28,0.5543024567963047,0.15543560503397214,-0.010536238047154534,0.2246971725686665
2021-06-30,0.5364023736007899,0.16116776762582918,-0.05614156033798806,0.20565647448855712
2021-07-30,0.5180651621411752,0.08416224473868511,-0.09783258581516907,0.1746601241512134
2021-08-31,0.5435278597437501,0.1290129096942214,-0.014990653872046178,0.23001900930596908
2021-09-30,0.46484340277431313,0.08575215489645627,-0.06953398439157824,0.1892606076146376
2021-10-29,0.4311576165164065,0.09262761042345607,-0.06691691109150352,0.15532229064924485
2021-11-30,0.3886615340624081,0.0515443135341469,-0.10116457628497806,0.09829274007010277
2021-12-31,0.46472867979117793,0.09335419382473181,-0.07551811382813137,0.14234259627333845
2022-01-31,0.394768162172687,0.10108862145177662,-0.15012713311482886,0.1059211658339296
2022-02-28,0.4165677334795571,0.14813789748726083,-0.030517072761014397,0.13640109425341504
2022-03-31,0.3855442826656946,0.10075913840658539,-0.04389415131166752,0.08736615286980026
2022-04-29,0.5151094904723654,0.13672089078000343,-0.0009134083066724141,0.16519893731292695
2022-05-31,0.4978751656442808,0.11075894721943866,0.003066245980849036,0.11792277304448295
2022-06-30,0.4139742801424557,0.05492548386940229,-0.07131774874950048,-0.030956451212185543
2022-07-29,0.4377811184288411,0.02936490660577458,-0.06300162430438364,0.012075011754412557
2022-08-31,0.48661849051564987,0.08554234553758333,-0.010353832708314109,0.10778450045632164
2022-09-30,0.418403613163272,0.0585000489574473,0.06647783876708394,0.06909020914359609
2022-10-31,0.40477099878103334,0.07594556928382377,0.042854727054317476,0.07754860076805276
2022-11-30,0.428809349837336,0.10973676535038596,0.0345111182229019,0.06519969547778133
2022-12-30,0.40355819498971773,0.15255234288842295,0.057627283034903026,0.09002690784654602
