,1m,3m,YTD,1yr,3yr,5yr,10yr,Since launch
Market,-5.97%,6.93%,-18.87%,-18.87%,23.12%,50.39%,92.10%,92.10%
High transformation,-4.72%,12.04%,-8.89%,-8.89%,47.28%,85.03%,157.34%,157.34%
High esg_sp,-3.94%,15.03%,-5.68%,-5.68%,36.61%,60.70%,108.22%,108.22%
High preparation,-4.22%,11.95%,-10.05%,-10.05%,30.38%,45.95%,91.45%,91.45%
Low advocacy,-4.03%,13.39%,-7.96%,-7.96%,32.95%,58.58%,103.36%,103.36%
