date,Market,High transformation,High esg_sp,High preparation,Low advocacy
2016-07-29,1.0002,1.0002,1.0002,1.0002,1.0002
2016-08-31,1.0047009,0.9933186079225653,0.9947232889647185,1.0094650176523376,0.9991339664285018
2016-09-30,1.00831782324,0.9969654623209402,0.9975189743511182,1.0180858313419143,1.0041404343264309
2016-10-31,0.9878489714282281,1.0030303384644723,0.9758731578864007,0.9829094864529474,0.9823646969060363
2016-11-30,1.0327960996282126,1.0567527266555756,1.0050949156039775,1.0205505177728065,1.036267676615058
2016-12-30,1.0513864294215205,1.0614288988211524,1.0255797950494223,1.0302617135111083,1.0469836588816792
2017-01-31,1.0742015149399675,1.0885192314769303,1.031504763721584,1.0528251442990892,1.0596790164716718
2017-02-28,1.1094353246299984,1.1271233215574692,1.0751716684675046,1.1002033699209128,1.098088224778259
2017-03-31,1.1120979694091104,1.1545645967800446,1.0751602314526003,1.1102468747602046,1.1062133197856008
2017-04-28,1.1219956413368515,1.172886358214347,1.0958529684941707,1.1103150982376147,1.1189791734510233
2017-05-31,1.1331033981860863,1.1933197995875882,1.1345938150660577,1.1495723237827533,1.1366805368455657
2017-06-30,1.14500098386704,1.197190513047221,1.1342855125308287,1.1594577171856468,1.1444490831418535
2017-07-31,1.1683590039379277,1.2176630083143694,1.1675696916295222,1.1835238213249744,1.1705204113735752
2017-08-31,1.1701115424438344,1.2269953126669317,1.1909365286896494,1.1895007686570056,1.176389785495447
2017-09-29,1.2001834090846408,1.2699154571620868,1.2229668816886357,1.232932937934749,1.2039493769363523
2017-10-31,1.2250272056526927,1.3035325714805368,1.2542656356271895,1.2594906757171154,1.223316393714489
2017-11-30,1.2612880109400122,1.3704344102024406,1.297632808751215,1.305361283844897,1.2612376803350152
2017-12-29,1.2773063686789503,1.3907975499716112,1.2957531535204259,1.3117721176501596,1.282347910217788
2018-01-31,1.3455145287664063,1.4550318112223986,1.356461802938281,1.3659058141169944,1.3468487191907421
2018-02-28,1.2938467708617762,1.3971902570043453,1.2987532945954725,1.311878015703732,1.2936007870136983
2018-03-29,1.2673229120591096,1.388223999281069,1.2829901891881794,1.2930887498236634,1.2726666376082525
2018-04-30,1.2735327943281993,1.4041548261193542,1.2675756585648257,1.2685836798121373,1.265040352741219
2018-05-31,1.3072814133778965,1.424019078118897,1.26673292782893,1.279849886056653,1.2634268226305396
2018-06-29,1.3142100048687995,1.4449333769731814,1.2662642503797406,1.2738250676256475,1.2780638632250882
2018-07-31,1.3571846720280092,1.5065683204946672,1.3074097160915241,1.323160703853895,1.3274446777671076
2018-08-31,1.4012931738689194,1.5093235717708011,1.3324383907316792,1.3486729304404772,1.3326673156711608
