,1m,3m,YTD,1yr,3yr,5yr,10yr,Since launch
Market,-3.08%,2.82%,23.92%,23.92%,26.43%,91.86%,199.36%,199.36%
High planet,-7.65%,-0.70%,18.67%,18.67%,26.39%,81.08%,197.23%,197.23%
Low people plus prosperity,-7.60%,-0.59%,18.80%,18.80%,26.76%,79.23%,191.96%,191.96%
