date,High planet,Low people plus prosperity
2018-06-29,0.4787453328607224,0.4787453328607224
2018-07-31,0.4801997832078061,0.4801997832078061
2018-08-31,0.5266058010460457,0.5304949182147117
2018-09-28,0.4179604454546084,0.43712473551215925
2018-10-31,0.04737043140319919,-0.004327021622880567
2018-11-30,0.19034670197616865,0.1420269854401458
2018-12-31,0.20699521994373304,0.15860215200437344
2019-01-31,0.2667311475251445,0.22315460315053937
2019-02-28,0.3033066439142005,0.256166361478422
2019-03-29,0.2813102039570755,0.23322207511209403
2019-04-30,0.29802528709050424,0.2464791029378951
2019-05-31,0.30170794227490705,0.26068469843729314
2019-06-28,0.282823906398588,0.23914509632323178
2019-07-31,0.3238694797532095,0.2807946808214872
2019-08-30,0.3146285300124699,0.2723141742381615
2019-09-30,0.3716822693543106,0.3655881302920119
2019-10-31,0.26855440044161544,0.2584250680365878
2019-11-29,0.24807357654005724,0.23854365644040776
2019-12-31,0.16987491583579162,0.14737508173930058
2020-01-31,0.16488728655385748,0.14119544116151672
2020-02-28,0.1500287519580229,0.11205621845614522
2020-03-31,-0.010760597131868499,-0.04556016418665565
2020-04-30,-0.00041647512699460876,-0.05219071573528167
2020-05-29,0.08919756591064676,0.04672582480696019
2020-06-30,0.1344540081514609,0.10308130065446663
2020-07-31,0.13914000346545796,0.10812951178191943
2020-08-31,0.221970493232315,0.19600996031011353
2020-09-30,0.45889696276192815,0.4271511144351916
2020-10-30,0.6998301200261291,0.6955058594568846
2020-11-30,0.4076687597924443,0.38845729398538054
2020-12-31,0.4931854335497535,0.4809689390165065
2021-01-29,0.3037636188707046,0.28404361426164615
2021-02-26,0.37764261154166484,0.3106234019052863
2021-03-31,0.5213223933182395,0.44721856104067914
2021-04-30,0.49282657443789163,0.41911080647661875
2021-05-28,0.5146263548033652,0.4278017969251323
2021-06-30,0.4289798967407866,0.34580315480924995
2021-07-30,0.40399812385721146,0.32190199277791554
2021-08-31,0.3753903455590896,0.28619025068001486
2021-09-30,0.26953219555881214,0.15619661058561096
2021-10-29,0.2869224013980746,0.18180818807411325
2021-11-30,0.1602779214600092,0.07150004499079732
2021-12-31,0.24044641265859545,0.1566487133253559
2022-01-31,0.08467209814007637,0.0038803029318282833
2022-02-28,-0.0009377647547881285,-0.06661516534227596
2022-03-31,-0.11080041771075727,-0.06845981853232996
2022-04-29,-0.05201879827349232,-0.011156633415302264
2022-05-31,-0.14455863350411063,-0.11857381072546408
2022-06-30,-0.32873047277678175,-0.3172051730560135
2022-07-29,-0.2609452873300604,-0.24808305232787
2022-08-31,-0.2031211490733421,-0.19065264250900404
2022-09-30,-0.4985892163582232,-0.48535311039261464
2022-10-31,-0.6069735167597679,-0.5967637964271646
2022-11-30,-0.4780787192328594,-0.4712467036160863
2022-12-30,-0.3732160353717537,-0.36969171350479646
2023-01-31,-0.1592900599203293,-0.1593829555533507
2023-02-28,-0.10445815267174341,-0.09968699147380422
2023-03-31,-0.09742665123629224,-0.0949512245608698
2023-04-28,-0.13439525189528267,-0.1313786112249089
2023-05-31,-0.1353899370341095,-0.13396905987508456
2023-06-30,0.09061885181895335,0.09338448837884039
2023-07-31,0.009601794284760545,0.027091160945885873
2023-08-31,-0.012033560912349528,0.006009653138646431
2023-09-29,0.045503549300099255,0.06964217667410044
2023-10-31,0.10668307001894561,0.12284271808993752
2023-11-30,0.1255403280803402,0.13574581739074776
2023-12-29,0.10610110670676742,0.11462590060440458
2024-01-31,0.07224383829659387,0.08082105607218293
2024-02-29,0.1858737261173784,0.19494220074096624
2024-03-28,0.2410111161015136,0.2498381465455921
2024-04-30,0.17073947272748047,0.17974503338682635
2024-05-31,0.15232241296075988,0.16631975171866342
2024-06-28,0.1480516871949039,0.1617196272573262
2024-07-31,0.24646244397004646,0.2578093580359809
2024-08-30,0.24507334479069295,0.25698961472268084
2024-09-30,0.3417206535707503,0.3537267888571024
2024-10-31,0.414809440839649,0.4269840231813896
2024-11-29,0.32854985961318806,0.3425393964470177
2024-12-31,0.07758256339544689,0.09493679803097643
