,Sharpe,VaR 1%,Max Drawdown,Alpha,p-value(alpha)
Market,0.88,-9.33%,-24.13%,,
High planet,0.86,-10.10%,-21.81%,0.16,0.260
Low people plus prosperity,0.84,-10.10%,-22.45%,0.13,0.340
