date,Market,High planet,Low people plus prosperity
2016-07-29,1.0002,1.0002,1.0002
2016-08-31,1.0047009,1.005759885091275,1.005759885091275
2016-09-30,1.00831782324,1.0092553189233486,1.0092553189233486
2016-10-31,0.9878489714282281,1.0080507837864976,1.0080507837864976
2016-11-30,1.0327960996282126,1.0612419350127957,1.0612419350127957
2016-12-30,1.0513864294215205,1.0846689190206864,1.0846689190206864
2017-01-31,1.0742015149399675,1.113704145723024,1.113704145723024
2017-02-28,1.1094353246299984,1.142886770474005,1.142886770474005
2017-03-31,1.1120979694091104,1.1498974735907825,1.1498974735907825
2017-04-28,1.1219956413368515,1.1537921760785543,1.1537921760785543
2017-05-31,1.1331033981860863,1.161469483604204,1.161469483604204
2017-06-30,1.14500098386704,1.1864740679512964,1.1864740679512964
2017-07-31,1.1683590039379277,1.2038864670830118,1.2038864670830118
2017-08-31,1.1701115424438344,1.218980052555933,1.218980052555933
2017-09-29,1.2001834090846408,1.2414476303728579,1.2414476303728579
2017-10-31,1.2250272056526927,1.2756929232386494,1.2756929232386494
2017-11-30,1.2612880109400122,1.3224760828334106,1.3224760828334106
2017-12-29,1.2773063686789503,1.341884283685018,1.341884283685018
2018-01-31,1.3455145287664063,1.4014252204955842,1.4014252204955842
2018-02-28,1.2938467708617762,1.3611565229988398,1.3611565229988398
2018-03-29,1.2673229120591096,1.3448560150479638,1.3448560150479638
2018-04-30,1.2735327943281993,1.3408828191368478,1.3408828191368478
2018-05-31,1.3072814133778965,1.3499045900047713,1.3499045900047713
2018-06-29,1.3142100048687995,1.3509777172623862,1.3509777172623862
2018-07-31,1.3571846720280092,1.4043148357296351,1.4043148357296351
2018-08-31,1.4012931738689194,1.4036265634710245,1.3980796839780518
2018-09-28,1.404235889534044,1.3907641462761802,1.3894446725755698
2018-10-31,1.29723311475155,1.283659992465685,1.2746301138688623
2018-11-30,1.320583310817078,1.3564726381158112,1.3459975521355159
2018-12-31,1.1973728879178447,1.2332463277355654,1.2199096657594168
2019-01-31,1.302741702054615,1.3595321630897808,1.3484464411429238
2019-02-28,1.349249580817965,1.4182934550231208,1.4054511449951876
2019-03-29,1.36463102603929,1.4270498522745934,1.4141282551514311
2019-04-30,1.4207173612095048,1.4988525038630676,1.4852807508012587
2019-05-31,1.3268079436335565,1.3986990722763888,1.3860341847255515
2019-06-28,1.4219400731920826,1.511979154609206,1.498356520409384
2019-07-31,1.4398565181143028,1.532163861863458,1.5183593674293088
2019-08-30,1.406451846894051,1.51157150195299,1.4979525406232597
2019-09-30,1.43036152829125,1.5508574118123624,1.5424233737471225
2019-10-31,1.4586826865514169,1.5477605836672135,1.5379569081970887
2019-11-29,1.5158630478642325,1.6048413352526227,1.5946761044036883
2019-12-31,1.5602778351666546,1.6414432048382832,1.6289346761738084
2020-01-31,1.5570012517128047,1.629645388531807,1.616922284611097
2020-02-28,1.4307284501988962,1.5012337680857955,1.4830348062232421
2020-03-31,1.2308556857061104,1.294136787777377,1.2632994673248197
2020-04-30,1.394928748610735,1.4315732165821533,1.39256793586293
2020-05-29,1.471091858284881,1.5024971291822702,1.4662528334392324
2020-06-30,1.5069864996270321,1.5351648026140654,1.5012003838597427
2020-07-31,1.5931861274056982,1.5962740230108905,1.560534581227096
2020-08-31,1.7118784938974227,1.6676025774503165,1.6318487575619565
2020-09-30,1.6493949288701668,1.66014505867893,1.624551129874076
2020-10-30,1.6147576353638933,1.669035029465238,1.6332504974443636
2020-11-30,1.8172482428385255,1.862134910285042,1.8222102681128323
2020-12-31,1.9010233868333815,1.9240121677362259,1.8827608615566493
2021-01-29,1.8953203166728814,1.8986216892713843,1.8579147613544627
2021-02-26,1.9557810347747464,2.0042641815493334,1.9567278093198555
2021-03-31,2.0246245271988172,2.148510987753591,2.097553424876811
2021-04-30,2.1284877654441163,2.251992575931341,2.1985806762761064
2021-05-28,2.1431743310256803,2.2873116207110566,2.2330620374436045
2021-06-30,2.1926816580723734,2.2599354127189173,2.206335127894917
2021-07-30,2.2196516424666637,2.26952301703397,2.2156953370732886
2021-08-31,2.282023853619977,2.333299376860298,2.277959073559812
2021-09-30,2.184353232685042,2.234302157718589,2.178208959060755
2021-10-29,2.330049593305134,2.3071536323692925,2.2555914721879393
2021-11-30,2.287642690706981,2.2296957130338733,2.1837956528836315
2021-12-31,2.3677101848817252,2.3517049013173468,2.3033142973638214
2022-01-31,2.231803620269514,2.2601594878145708,2.2136525971815786
2022-02-28,2.182257579899531,2.1920137639263406,2.146909095457343
2022-03-31,2.2538356285202354,2.2578656458534407,2.2114059551892074
2022-04-29,2.048961969887746,2.1281220830353833,2.084332102061482
2022-05-31,2.047117904114847,2.154710892794589,2.1086984916238585
2022-06-30,1.8751600001692,1.9368768726439203,1.8955161703889574
2022-07-29,2.049924912184969,2.090853501672391,2.0462047321182526
2022-08-31,1.9765376003287474,2.034078372845221,1.9906419979621506
2022-09-30,1.7964750249387986,1.8387768209519755,1.7995109792875512
2022-10-31,1.9436063294812864,2.0225467981227965,1.9793566722581133
2022-11-30,2.04292461291778,2.1742051160717217,2.1277764288809324
2022-12-30,1.9209620135265884,2.085944222310871,2.0414002871139534
2023-01-31,2.057734508889682,2.2430008825858136,2.1951031080950623
2023-02-28,2.0095835213816633,2.1883118843171765,2.1413032831606866
2023-03-31,2.062837484698277,2.2136922416360783,2.1661384279333493
2023-04-28,2.0842909945391392,2.213373504041544,2.1658265373557155
2023-05-31,2.0897101511249407,2.160512389436497,2.114100967949214
2023-06-30,2.233482209522337,2.3657356120796846,2.3149156523532133
2023-07-31,2.313887569065141,2.4362184573477434,2.3904773471122067
2023-08-31,2.2678412064407447,2.3638696919945636,2.319486962753738
2023-09-29,2.162159806220606,2.259915330260261,2.2174843914695943
2023-10-31,2.100322035762697,2.1559600493528572,2.1154809182702436
2023-11-30,2.2946018240707464,2.3515416042706407,2.307390340487222
2023-12-29,2.415756800381682,2.504657423461917,2.4576313404916927
2024-01-31,2.4420885495058418,2.482271413576281,2.435665638129311
2024-02-29,2.5702981983548985,2.602300306626772,2.553440934088821
2024-03-28,2.654603979260939,2.759118561152549,2.7073148545194456
2024-04-30,2.5436415329278317,2.65811227771525,2.608205010020639
2024-05-31,2.6626839566688543,2.7434950762487067,2.691984707654766
2024-06-28,2.7383041810382496,2.715723957344939,2.664735004146777
2024-07-31,2.7911534517322876,2.8747429148574146,2.8207683083640074
2024-08-30,2.8514423662897044,2.914346770045479,2.8596285831475945
2024-09-30,2.911607800218417,2.993099829249941,2.9369030178257574
2024-10-31,2.8918088671769318,3.016708625850846,2.9600685485263516
2024-11-29,3.088741051031681,3.2184758367804758,3.1598524907143832
2024-12-31,2.9936078266599053,2.972280703510933,2.9195816612146888
