,Sharpe,VaR 1%,Max Drawdown,Alpha,p-value(alpha)
Market,0.67,-10.40%,-24.13%,,
High customers,0.93,-10.88%,-21.38%,0.39,0.000
High suppliers,0.61,-12.51%,-28.33%,-0.01,0.970
High employees,0.63,-12.77%,-29.69%,0.04,0.810
High communities,0.77,-11.52%,-26.47%,0.23,0.110
Low communities,0.75,-12.07%,-26.29%,0.22,0.140
High esg_refinitive,0.73,-12.38%,-27.31%,0.18,0.180
