date,Market,High customers,High suppliers,High employees,High communities,Low communities,High esg_refinitive
2016-07-29,1.0002,1.0002,1.0002,1.0002,1.0002,1.0002,1.0002
2016-08-31,1.0047009,0.9951349754367184,1.0105855144957416,0.9982711474007622,0.9955526041166153,1.0079936638759799,1.005611239550307
2016-09-30,1.00831782324,0.9931744250843327,1.0095824704251022,0.9931271436791429,0.9964076550855742,1.0052290990842758,1.0020739527083153
2016-10-31,0.9878489714282281,0.981587000749455,1.000880457253207,0.9684571426902251,0.9930022797891479,0.9919497342969388,1.0075224722877654
2016-11-30,1.0327960996282126,1.0464215972730166,1.0418663590155308,1.0181733707394598,1.0650967745960846,1.0806998694731356,1.0835245747863982
2016-12-30,1.0513864294215205,1.0725540851235325,1.0521002839601532,1.0221386758911322,1.1080893050732323,1.0872313983829753,1.1074007463279743
2017-01-31,1.0742015149399675,1.0994643122453724,1.0661839139203575,1.0413352381902132,1.1535272693029344,1.0975200273061096,1.1364185614655538
2017-02-28,1.1094353246299984,1.1271319478776842,1.1105962624619934,1.0833332401078637,1.177082971230606,1.1347544094736013,1.172236756752016
2017-03-31,1.1120979694091104,1.1359121822918303,1.1162329430965214,1.0949218503044682,1.1767128429971354,1.1439061623601303,1.180382288672034
2017-04-28,1.1219956413368515,1.163701864269187,1.132215193822809,1.1010108239320722,1.1692259771795572,1.1526751845415195,1.182421374642651
2017-05-31,1.1331033981860863,1.1884396255315193,1.138120860328316,1.1320621974913123,1.192625192405464,1.1802230984216056,1.1985467019629736
2017-06-30,1.14500098386704,1.1966973910263747,1.162515543375838,1.1360128687270012,1.201153578958974,1.197944141061413,1.2179692350965987
2017-07-31,1.1683590039379277,1.221972549660821,1.1723680579399887,1.1620000587144166,1.2620337682187468,1.2313030929003843,1.2657920090549317
2017-08-31,1.1701115424438344,1.2283811157010238,1.1868545157654853,1.1637215313090388,1.2599727299184231,1.2378351229498246,1.2885930049958492
2017-09-29,1.2001834090846408,1.249106176325504,1.2099827178571219,1.2097802315308177,1.2819781896418596,1.283111711502466,1.3176477055781355
2017-10-31,1.2250272056526927,1.2784882435474616,1.2408917146228695,1.2308322063690313,1.2982524730410345,1.303079433361043,1.3428534750011427
2017-11-30,1.2612880109400122,1.3240333846855226,1.2790589954313176,1.2780802575241998,1.332625815313942,1.3566726005742527,1.3827164421210896
2017-12-29,1.2773063686789503,1.3383240503999063,1.2765363883300933,1.287839705642668,1.359273285502504,1.3761818697350634,1.4363075606465416
2018-01-31,1.3455145287664063,1.4045891952273375,1.3252753062589073,1.343983756495139,1.3948105915836682,1.44220298526132,1.5140204483656645
2018-02-28,1.2938467708617762,1.3366195585551293,1.2759649360357546,1.2772814143273932,1.3542586917219968,1.3685282160028491,1.44272927192737
2018-03-29,1.2673229120591096,1.311577727300628,1.273298077240542,1.2623076741438528,1.3552723052385645,1.3479378743891177,1.4193654401058138
2018-04-30,1.2735327943281993,1.3315626568032481,1.2768415883802402,1.253510139283881,1.3481710747934053,1.3548791591084337,1.4180883402978872
2018-05-31,1.3072814133778965,1.3369246905590728,1.275088899486102,1.2531971333562815,1.3570901975686571,1.3407478942905788,1.4050656567389157
2018-06-29,1.3142100048687995,1.3515638481664292,1.274323887290225,1.2584834946029484,1.3565388094087343,1.3481260394606236,1.4047826160382486
2018-07-31,1.3571846720280092,1.4268686199414105,1.321409938279842,1.2937512016298904,1.384729141467194,1.3913256819826427,1.4470913644278025
2018-08-31,1.4012931738689194,1.4492224333904284,1.331999173461606,1.3293538033997792,1.3989284317281037,1.4276693046839755,1.4624509857698202
2018-09-28,1.404235889534044,1.4498140170200997,1.3281498865080374,1.316304714089218,1.4035434830261773,1.4245187548807245,1.475724733004614
2018-10-31,1.29723311475155,1.359325219222846,1.2276910683432078,1.1993016026759105,1.3241034179281115,1.2833261287493638,1.3531715637120847
2018-11-30,1.320583310817078,1.3909126924647532,1.2716142309043037,1.2036574265682078,1.378756076682506,1.2957159819266892,1.3723150295545208
2018-12-31,1.1973728879178447,1.2513356559941546,1.1462982466617846,1.0823665403026466,1.2528009215994118,1.1725131207813353,1.2493110919414443
2019-01-31,1.302741702054615,1.3667788273912038,1.259119601726345,1.206953556834222,1.3546177375857784,1.3002285524912365,1.3646603301467337
2019-02-28,1.349249580817965,1.4305752306783648,1.300944174562797,1.2564579317720663,1.4137341160889627,1.3591825329275267,1.4302920742188308
2019-03-29,1.36463102603929,1.4337621449616205,1.311385776295848,1.2810768253046558,1.4223020715910804,1.3770675346673475,1.4430702878577626
