,1m,3m,YTD,1yr,3yr,5yr,10yr,Since launch
Market,-5.97%,6.93%,-18.87%,-18.87%,23.12%,50.39%,92.10%,92.10%
High customers,-5.76%,10.56%,-4.18%,-4.18%,50.89%,86.11%,149.08%,149.08%
High suppliers,-3.81%,12.15%,-6.87%,-6.87%,24.25%,42.60%,82.03%,82.03%
High employees,-4.41%,10.82%,-8.56%,-8.56%,36.45%,51.53%,95.14%,95.14%
Low communities,-4.79%,11.79%,-7.11%,-7.11%,42.78%,61.18%,121.81%,121.81%
High esg_refinitive,-3.97%,15.45%,-8.31%,-8.31%,34.00%,50.16%,115.68%,115.68%
