date,High customers,High suppliers,High employees,Low communities,High esg_refinitive
2019-10-31,0.22571370722744677,-0.09054795276406291,-0.293981430037342,0.07407503481198063,0.11398266400016477
2019-11-29,0.19034935578885637,-0.1016716669456652,-0.33267735654224134,0.025630990422035316,0.1240691659983233
2019-12-31,0.21981021783780286,-0.09106266038892719,-0.3164159257564901,0.003463696997544452,0.11849815864152463
2020-01-31,0.24530397966828965,-0.11432421759107697,-0.3301504429896722,0.014577048027712314,0.1265126798833916
2020-02-28,0.23948614399508206,-0.1468786209819214,-0.3075604291782379,0.0010729504576888482,0.07000693873761632
2020-03-31,0.15601887071993792,-0.008784271529254095,-0.27066037856225633,-0.16920922304594077,-0.00453280221044583
2020-04-30,0.14209227683069192,0.07211290523915559,-0.18869658407771928,-0.10524670348159604,0.012115050323070142
2020-05-29,0.1465075508762721,0.0868312087316705,-0.17599071156850155,-0.06960114955582664,-0.0014678087662379768
2020-06-30,0.13745938701928906,0.07938591483944213,-0.19851127809739177,-0.06725827826547837,-0.011490884850390737
2020-07-31,0.12478362683998157,0.043668843634117716,-0.23246711362203143,-0.08190377828080342,-0.03746843556749835
2020-08-31,0.09721884448069562,0.016354942886909418,-0.2203519208718463,-0.06718307259880574,-0.030765338509363804
2020-09-30,0.1393334273559369,0.051798193455954156,-0.15365841856847196,-0.013674148270305442,0.018132597928812277
2020-10-30,0.2583357630804491,-0.027506676725050805,0.04684172000421816,0.11201329567241369,0.09241260302081666
2020-11-30,0.28140757768475766,-0.04664905001589015,-0.036682330148318565,0.053762591118501346,-0.012601928269574958
2020-12-31,0.26191156377053537,-0.100644858369201,-0.07929290830611546,0.012748695049264125,-0.07352640977120106
2021-01-29,0.27284009922667307,-0.06352512603170579,-0.1703027797721851,-0.06079761046355625,-0.02693049675134196
2021-02-26,0.32634743802003857,-0.17063639313292772,-0.14595853774796258,-0.015137086808783062,-0.05964101004396355
2021-03-31,0.36473868402071546,-0.10287094112901873,-0.08085761657848667,0.07432019387322164,0.03464442411262547
2021-04-30,0.3612534930805672,-0.09930659028641237,-0.06431622922312039,0.05098352784124027,-0.07836233831634909
2021-05-28,0.324047856818734,-0.09319172647683899,-0.03360759782039996,0.0817852768828452,-0.02805044568734777
2021-06-30,0.32693145281839137,-0.12322147102140968,-0.0479310590101914,0.0756305089686117,-0.03682577246536484
2021-07-30,0.31866698986286524,-0.207607986608969,-0.041246178306264175,0.08243511661131514,-0.041910192572920835
2021-08-31,0.3035568165136202,-0.2033585425202068,0.016224499072460263,0.11341696408066435,0.0007311351236209407
2021-09-30,0.3521157902935567,-0.18549963616868653,0.06441383782556957,0.1648814603972846,0.06675866755043974
2021-10-29,0.3197815087658836,-0.19711895121832118,0.07014304891670832,0.15182742801815016,0.07112788182317964
2021-11-30,0.29118856162676876,-0.19685339048456607,0.06175184652710311,0.1647414287657379,0.0386345523606384
2021-12-31,0.3011661589461147,-0.1610758882523831,0.03255366579324018,0.13848867252808028,0.06509776076014406
2022-01-31,0.31484634338259576,-0.14212090710767455,0.027185081466232552,0.12113293911102907,0.015139856560849721
2022-02-28,0.38369557530641385,-0.1134254839536579,0.10645152784342826,0.28544018241963587,0.10454051215256238
2022-03-31,0.3562013610958818,-0.14932543484867766,0.14969251329751837,0.3060048755836816,0.09225950219871307
2022-04-29,0.5504116136061177,-0.04848058434625174,0.16275242080616248,0.3696557708338072,0.0131784529360921
2022-05-31,0.4807026643735869,-0.08133427308245739,0.12030616077609335,0.32150066585152615,0.007817219598317326
2022-06-30,0.4041421168759508,-0.1444394434434301,0.07096132263422095,0.22227135739562076,-0.06943238905622559
2022-07-29,0.4387167997545742,-0.15425469943940984,0.0864132797468179,0.26343033769466,-0.07982940678752071
2022-08-31,0.44873528044535604,-0.12196698566443154,0.09918275527237758,0.24925331304767445,-0.008681434743100014
2022-09-30,0.41815597576641494,-0.09151987200786293,0.19916717375344795,0.2805587499091003,0.03134114515691712
2022-10-31,0.39027842106235294,-0.08911046176542636,0.18973972995407112,0.2877992020417454,0.019147853185963057
2022-11-30,0.41013548537506805,-0.0900036171270722,0.1662876202978862,0.25083379093990105,0.05838590383753077
2022-12-30,0.3979194600164936,-0.007090745430475887,0.13922830629059377,0.21964215277094573,0.11981902654395701
