,Sharpe,VaR 1%,Max Drawdown,Alpha,p-value(alpha)
Market,0.86,-9.25%,-24.13%,,
High prosperity,0.75,-10.04%,-27.19%,0.07,0.560
High planet,0.93,-10.25%,-19.38%,0.24,0.060
High people,0.74,-10.80%,-32.56%,0.09,0.480
Low people,0.85,-10.23%,-22.18%,0.14,0.210
