date,High prosperity,High planet,High people,Low people
2015-06-30,-0.16082533681049316,-0.03704907286671133,0.4051867447201016,-0.13167670725318154
2015-07-31,-0.155973654516121,-0.03528381008821391,0.43494315616462437,-0.11945318648564879
2015-08-31,-0.11718412667991684,0.005863909032004344,0.3202608923192556,-0.21870649546221826
2015-09-30,-0.12329016524980013,-0.004133078628710374,0.41348936426269495,-0.21843071021480231
2015-10-30,-0.12887454176556157,0.01907745651728765,0.36812374178524115,-0.20810606758195394
2015-11-30,-0.1746695869992324,0.045620189775703146,0.44538439887984094,-0.2053017498975459
2015-12-31,-0.18416353925284296,0.11928267631356337,0.47472692373119585,-0.13438833639002945
2016-01-29,-0.050086148561835686,0.2564606705886866,0.5662475848574251,-0.05290472719571726
2016-02-29,0.12880486704146038,0.2923586276345054,0.48329885910175685,0.027526397676266856
2016-03-31,0.26788986005755666,0.3261578197902834,0.5809348078096283,0.06889504684482678
2016-04-29,0.28931250271848613,0.25277302330928725,0.6632808396247871,0.006345413558928981
2016-05-31,0.24823251751625047,0.2729282949845987,0.7202034990394544,0.05250941755656485
2016-06-30,0.37338312098867654,0.31740236129536603,0.7968029982670458,0.08022828418692074
2016-07-29,0.449688577726132,0.32124645677866737,0.8420564510370121,0.09623266671124026
2016-08-31,0.294823856962084,0.2131027896995272,0.7891832867849562,-0.017986445258310002
2016-09-30,0.2707231829275323,0.2570561074768378,0.8074901957313398,0.021647109553229238
2016-10-31,0.12466615471239184,0.2307383083141083,0.8412763499359793,0.055653899416291897
2016-11-30,0.050907918404964864,0.2324216116474588,0.8951087639578801,0.062435348269865854
2016-12-30,0.02010503753028789,0.2102930786085962,0.9146198994955171,-0.009477109712486408
2017-01-31,0.04324202250183478,0.20584478739149292,0.8756624828489622,-0.02393876741141862
2017-02-28,0.1132569302695215,0.1999421821546744,0.8057975233688838,-0.03367460377123807
2017-03-31,0.18693645237612153,0.2115885002738923,0.7681027018855973,0.018097154197137644
2017-04-28,0.1800699899165748,0.2729488344061936,0.7837065438684313,0.039486193359963284
2017-05-31,0.25824804863349005,0.2827383028919945,0.8955261598683341,0.050137675928276615
2017-06-30,0.21289013713602853,0.3110421894654871,0.8954612908003382,0.044635835670075896
2017-07-31,0.2654984961240352,0.25542994628964466,0.8607216011205051,0.09515787724638658
