date,Market,High prosperity,High planet,High people,Low people
2013-07-31,1.0,1.0,1.0,1.0,1.0
2013-08-30,0.9747,0.9781751697052481,0.9819452915930413,1.0011539311889968,0.9822077699017234
2013-09-30,1.01193354,1.0112535644910894,1.0327893873189302,1.0347945387440085,1.031657615179292
2013-10-31,1.053321621786,1.0628092814686791,1.076126838020894,1.0913482687671825,1.0798077523403522
2013-11-29,1.0827092950338295,1.0925652221231024,1.096578513358759,1.1156181839311623,1.1027500004074262
2013-12-31,1.1112928204227226,1.126708971879553,1.1189040880446035,1.1425468146626805,1.1256430131996036
2014-01-31,1.0732866059642654,1.0757031551387055,1.0659972446702637,1.0985231745369186,1.0701713410836464
2014-02-28,1.1239457337657786,1.1282665329199257,1.1253761195982142,1.1561415673934983,1.1299459652975656
2014-03-31,1.1309141973151264,1.1433872324290228,1.1408538986746486,1.1678406105965757,1.144208909609412
2014-04-30,1.1337414828084142,1.1397284684572726,1.1603315315340772,1.200082008560641,1.1616491427487863
2014-05-30,1.1561895641680209,1.1631951311782347,1.1767980464176158,1.2062845920524325,1.1798145059050695
2014-06-30,1.1886784909211423,1.1871146263576497,1.2191721079967313,1.2495877207292643,1.2229881769397635
2014-07-31,1.1641917140081668,1.160915419249912,1.182585565640468,1.209726238025043,1.186189339581481
2014-08-29,1.2114578975968984,1.2071489671732107,1.248987956423008,1.2577735301734723,1.2517266941260323
2014-09-30,1.1817771791057745,1.1827026957992715,1.2044651666499706,1.2183809711738778,1.2071889648428251
2014-10-31,1.2057672558416217,1.2011950701779994,1.2518375513173807,1.2281374718461417,1.2431839737158286
2014-11-28,1.2325352889213057,1.2271518183708077,1.2732890436741198,1.2449678763619978,1.2628250121929456
2014-12-31,1.230070218343463,1.2209442138450444,1.27553450670357,1.2366020159064783,1.2693746566619282
2015-01-30,1.187386781766945,1.1711490361591765,1.2353040429388953,1.2189459132523104,1.2224122102490573
2015-02-27,1.2604110688456123,1.2146529794584031,1.3099220694376439,1.299865941421154,1.2940534241004062
2015-03-31,1.245286136019465,1.1965266486136654,1.2986101148260265,1.2989909441698515,1.274553664800394
2015-04-30,1.259108812129281,1.2187942278015045,1.2864086270107724,1.3334839452411704,1.2683548223106151
2015-05-29,1.2716999002505738,1.2073168597731985,1.2865697030230603,1.350441754945395,1.2621447219067763
2015-06-30,1.250081001946314,1.1782945406857122,1.2615153897690574,1.3244124701969953,1.2298676983660697
2015-07-31,1.2632068524667501,1.162751748996111,1.2794699773540972,1.3276671001450162,1.2253034750264211
2015-08-31,1.1882986861154718,1.114222240794349,1.205519313711905,1.27044014099082,1.142220889096161
2015-09-30,1.1484906801306036,1.0830755106567735,1.1638322672975796,1.258541607382568,1.1015505484696264
2015-10-30,1.234972028344438,1.1800201724220292,1.2730712057226075,1.3414406811121735,1.2062531677879555
2015-11-30,1.240529402471988,1.171246629211633,1.2754157474128556,1.3626463303998626,1.2023970009277565
2015-12-31,1.2102604850516714,1.1449870285742318,1.2543959536603362,1.3399400125638317,1.1774938107765407
2016-01-29,1.1410335853067157,1.1217293256788607,1.1941387991566128,1.295009424113653,1.1114437539461903
2016-02-29,1.1442284793455744,1.16814246082555,1.2117908948575657,1.2959465603766342,1.134687749515211
2016-03-31,1.2245533185956337,1.271238855185152,1.3212403309463046,1.3991907765162104,1.2385211125887803
2016-04-29,1.2383907710957645,1.2970021262746048,1.3391481133904277,1.4677467174929169,1.2588483400210437
2016-05-31,1.255728241891105,1.2871578006446154,1.359803878778721,1.4875441913305083,1.285776761373521
