date,High prosperity,High planet,Low people
2018-06-29,-0.43113139702691916,0.30418754843392326,0.2743327974780274
2018-07-31,-0.4394727333809409,0.3638286106693157,0.2730856069031419
2018-08-31,-0.3141423560111954,0.4807037133004849,0.4065786429662316
2018-09-28,-0.3289047132035948,0.4027691605680144,0.3176604588255106
2018-10-31,-0.49397810748284887,-0.13465585052198725,-0.10411970421233374
2018-11-30,-0.4925986571132177,0.12318749950435959,-0.0090033052517694
2018-12-31,-0.47567896139968935,0.14566672179729578,0.08601729093898991
2019-01-31,-0.3824282000320882,0.2160031499047439,0.14311671345545363
2019-02-28,-0.3691886104115989,0.23590419865130063,0.17703732683189566
2019-03-29,-0.393853777590932,0.2021427280012662,0.15349785997214505
2019-04-30,-0.32198969380173936,0.2021084583521937,0.12888902750885423
2019-05-31,-0.37396038370950313,0.23976758034707824,0.14917684574878887
2019-06-28,-0.2125606182208699,0.3210782372745222,0.28240843132903537
2019-07-31,-0.17418253262447536,0.39522705668864755,0.2514118202107295
2019-08-30,-0.1522007056349194,0.39762361210102704,0.24614971483470915
2019-09-30,0.017105896640083995,0.394981651577174,0.21380924524999673
2019-10-31,-0.06485145826159289,0.32250895535012136,0.16346504582350585
2019-11-29,-0.06422235115617847,0.29715573310777266,0.15185624551191917
2019-12-31,-0.019164862498642854,0.18134390092325314,0.06808629923808485
2020-01-31,-0.020455856056862065,0.16436434315243587,0.06479826280363443
2020-02-28,-0.003038583416047569,0.15863313262348155,0.040711414784779354
2020-03-31,-0.036058109417018924,-0.126264169187563,-0.10131844046691363
2020-04-30,0.046861450540119254,-0.0531426900626355,-0.014361428454423564
2020-05-29,0.14053071771970593,0.04568888483558853,0.11645146884459501
2020-06-30,-0.005976315595520365,0.06841999299889023,0.12741992614685094
2020-07-31,0.03758671780556977,0.06405423602441562,0.13904649202505226
2020-08-31,0.08567532739744066,0.1816181288498202,0.24181854491892474
2020-09-30,0.22771608614793093,0.4250181393487177,0.44943129393852677
2020-10-30,0.4372589564174688,0.8159322728352183,0.6618945421982743
2020-11-30,0.3334081498151864,0.4643916817463445,0.43699328689430555
2020-12-31,0.33068210381454954,0.5714842256136783,0.4491485055636201
2021-01-29,0.2335168213237877,0.3567842094803346,0.27974543070877256
2021-02-26,-0.08163273274594474,0.5264211351177319,0.3386362080091795
2021-03-31,-0.019407099197127797,0.7319179584613813,0.49780303165962614
2021-04-30,-0.06262151238595537,0.7357057048173189,0.5456390047415044
2021-05-28,0.12207642352633696,0.7276007761924106,0.4926684022772443
2021-06-30,0.02071058186461805,0.5917960921348193,0.35888442240057516
2021-07-30,-0.011139250278292392,0.5761523172277012,0.3718640348846999
2021-08-31,-0.06721219477086075,0.5373501561515677,0.32372222871064493
2021-09-30,-0.005681760931483981,0.5372643551305079,0.28049190503167964
2021-10-29,0.05645143755906917,0.5578213851381126,0.2874065845991987
2021-11-30,0.005193554471015105,0.4229516580643676,0.15495013155683912
2021-12-31,0.04715905314921548,0.4721890896771159,0.20118217426107615
2022-01-31,-0.042679941950850786,0.3333922579725677,0.10003102449368273
2022-02-28,0.20157802383926593,0.3073911385310656,0.10729841100005744
2022-03-31,0.33488478782139997,0.21121013843235908,0.16277043376264666
2022-04-29,0.41536318310925635,0.3382571900949839,0.26899846371828395
2022-05-31,0.308046646731877,0.21527550915885868,0.16444780779574752
2022-06-30,0.23133412102384315,0.04519886093494352,0.04941845594422131
2022-07-29,0.32752203162959137,0.06391795240292225,0.08796117403182552
2022-08-31,0.3302129042156321,0.058558560122177306,0.09810396396885246
2022-09-30,0.19416819646506853,-0.3477789007723241,-0.30293243731104974
2022-10-31,0.18684345076798387,-0.47112967084996416,-0.4028145154001208
2022-11-30,0.20403302902421877,-0.33268084096539013,-0.2836129018669442
2022-12-30,0.25093876793537334,-0.23945871471061422,-0.17590747733497408
2023-01-31,0.3429520082991545,0.022920596533479665,0.11654496125923819
2023-02-28,0.44942921531470803,0.04766035343430064,0.16821942534766188
2023-03-31,0.453727236691456,0.05083133836141307,0.16718341893716515
2023-04-28,0.42859997171811204,-0.0015726919858932709,0.10762454632400487
2023-05-31,0.2962796140978668,0.009548435485837836,0.115704584448927
2023-06-30,0.3807082327015905,0.2630629596883364,0.3921424684023526
2023-07-31,0.2709362046461523,0.19616730439938823,0.3026189332367075
2023-08-31,0.2941443140677554,0.17313634507863512,0.26521497623913526
2023-09-29,0.28127743737798294,0.1764800424796954,0.2965731255423626
2023-10-31,0.3050028895378213,0.20406702174519153,0.3315381714477743
2023-11-30,0.32808607580133786,0.22540453962073315,0.34038014809457695
2023-12-29,0.19845856694553543,0.21638352232855462,0.3222993377942819
2024-01-31,0.213035791040809,0.1655022137977924,0.28972584129770573
2024-02-29,0.07239473321513468,0.25604509556356503,0.3763342188699002
2024-03-28,0.05677765704662607,0.25947592310293266,0.33902109718284423
2024-04-30,-0.06339513618055181,0.13791003508414207,0.20804807031417383
2024-05-31,-0.05442531875462153,0.12546149043822513,0.21765325785910325
2024-06-28,-0.07412273867526303,0.08221974657555643,0.13545051820480528
2024-07-31,-0.011870811346324617,0.11832954797701577,0.14947275754656367
2024-08-30,0.03027697529104309,0.09612967706650104,0.14120840418830305
2024-09-30,0.05280295485904807,0.26430735424526514,0.25205674021891855
2024-10-31,0.07027641587778355,0.31624789049755253,0.21986199070294865
2024-11-29,0.07647325227203272,0.25466800290325164,0.14274323006950118
2024-12-31,-0.09096924288088915,-0.0336933674636134,-0.12687502382539861
