,1m,3m,YTD,1yr,3yr,5yr,10yr,Since launch
Market,-3.08%,2.82%,23.92%,23.92%,26.43%,91.86%,199.36%,199.36%
High prosperity,-7.62%,-1.03%,17.50%,17.50%,29.23%,83.53%,153.32%,153.32%
High planet,-6.71%,0.34%,19.36%,19.36%,31.16%,100.49%,217.51%,217.51%
Low people,-6.61%,-1.18%,19.10%,19.10%,32.98%,92.44%,199.58%,199.58%
