,Sharpe,VaR 1%,Max Drawdown,Alpha,p-value(alpha)
Market,0.88,-9.33%,-24.13%,,
High prosperity,0.70,-10.15%,-27.19%,-0.00,0.990
High planet,0.91,-10.67%,-19.38%,0.21,0.180
Low people,0.85,-10.96%,-22.18%,0.15,0.300
