date,Market,High prosperity,High planet,Low people
2016-07-29,1.0002,1.0002,1.0002,1.0002
2016-08-31,1.0047009,0.9845618813484244,0.9940546739561578,0.9918500806582824
2016-09-30,1.00831782324,0.984400323844325,1.001031958024384,1.0018813803368043
2016-10-31,0.9878489714282281,0.9590303365390311,0.9921975886057804,0.9976920396476726
2016-11-30,1.0327960996282126,1.0124699852345116,1.029931089620652,1.050247390481433
2016-12-30,1.0513864294215205,1.0278448813527004,1.049930930779353,1.0649422770859513
2017-01-31,1.0742015149399675,1.0503220847016272,1.0783193933804598,1.0918536838726736
2017-02-28,1.1094353246299984,1.0776851089302335,1.1132747559698177,1.1207347712730522
2017-03-31,1.1120979694091104,1.0845182488128917,1.1262276263180722,1.1285741851235636
2017-04-28,1.1219956413368515,1.079862021862609,1.134556826989252,1.12758754310075
2017-05-31,1.1331033981860863,1.0864927107226787,1.1393358333750379,1.121129227469737
2017-06-30,1.14500098386704,1.0892901557015253,1.1602380963400278,1.1308891926976947
2017-07-31,1.1683590039379277,1.1104640131048553,1.1668445325519596,1.1611655669665872
2017-08-31,1.1701115424438344,1.1063079661450492,1.1820147096529277,1.1781270617911035
2017-09-29,1.2001834090846408,1.1396355382426349,1.2094108483721218,1.2106896111419825
2017-10-31,1.2250272056526927,1.1589336289007157,1.2280639275373026,1.2328712502188859
2017-11-30,1.2612880109400122,1.1876548425019395,1.2679253834966278,1.2731140974612436
2017-12-29,1.2773063686789503,1.1890300935577518,1.2976848387772968,1.2934836170604693
2018-01-31,1.3455145287664063,1.2303304048472437,1.343498292911697,1.3490296694669903
2018-02-28,1.2938467708617762,1.1798948529458206,1.307563106995636,1.310132198903268
2018-03-29,1.2673229120591096,1.1515599708553692,1.3060188896940477,1.2969548986327841
2018-04-30,1.2735327943281993,1.1424366619170987,1.290170500598371,1.28367150527028
2018-05-31,1.3072814133778965,1.1554761022903701,1.2994671723550462,1.2871266977441496
2018-06-29,1.3142100048687995,1.1707998930017849,1.299531721422213,1.293924673605743
2018-07-31,1.3571846720280092,1.205668215714643,1.355810677836259,1.3406492515673685
2018-08-31,1.4012931738689194,1.2155183428434475,1.3452937487718382,1.3254633828102944
2018-09-28,1.404235889534044,1.2098883001227645,1.3409581832600397,1.3246566917584353
2018-10-31,1.29723311475155,1.1005754176482854,1.2167262471419815,1.2170356908055644
2018-11-30,1.320583310817078,1.1258265858030445,1.2907630854036578,1.2683678121735869
2018-12-31,1.1973728879178447,1.0149845154485555,1.1704038199155813,1.158869780704209
2019-01-31,1.302741702054615,1.1273276561784118,1.2987575087458396,1.2737077619541228
2019-02-28,1.349249580817965,1.1691490163886615,1.35683641806464,1.3264399172742076
2019-03-29,1.36463102603929,1.1780244957271384,1.362439347194801,1.3410316193498029
2019-04-30,1.4207173612095048,1.2402151358755882,1.426155281825626,1.3917155565495154
2019-05-31,1.3268079436335565,1.1314003284695526,1.3385809275989287,1.3029350710010792
2019-06-28,1.4219400731920826,1.2425458850355986,1.4649117204177904,1.4268800067864382
2019-07-31,1.4398565181143028,1.2650214981238004,1.4824759201097422,1.4405896834339869
2019-08-30,1.406451846894051,1.2413156834746468,1.4701040558577707,1.428826855109485
2019-09-30,1.43036152829125,1.2967268144236153,1.4976956670780577,1.4638908298651918
2019-10-31,1.4586826865514169,1.2935617764586418,1.4996193587476108,1.4721816114511719
2019-11-29,1.5158630478642325,1.3321205028724423,1.5469873309456956,1.5244309178199
2019-12-31,1.5602778351666546,1.3802260330267324,1.5836478354552448,1.5567879272909646
2020-01-31,1.5570012517128047,1.349046681888556,1.5935678295159994,1.5458274965694765
2020-02-28,1.4307284501988962,1.2276263481267982,1.4718813077413266,1.422690661484805
2020-03-31,1.2308556857061104,1.0048785808049372,1.284792026411078,1.2114745019938142
2020-04-30,1.394928748610735,1.1368602412107212,1.4353957977639076,1.3529008404748368
2020-05-29,1.471091858284881,1.1998114650241256,1.512860756957031,1.4224613668697859
2020-06-30,1.5069864996270321,1.2011739714606686,1.5421779193422842,1.4529378660413852
2020-07-31,1.5931861274056982,1.2471646540926515,1.614999533298541,1.5092946899528275
2020-08-31,1.7118784938974227,1.310809241598535,1.697450975795883,1.5859767239172429
2020-09-30,1.6493949288701668,1.2791496525067674,1.696667652448255,1.5811590603606178
2020-10-30,1.6147576353638933,1.2745363162863435,1.7095115486358778,1.590418014288219
2020-11-30,1.8172482428385255,1.4426804374952242,1.8951985247465863,1.7748814902473604
2020-12-31,1.9010233868333815,1.4979594071721465,1.960327649699683,1.8306416578915876
2021-01-29,1.8953203166728814,1.4948305028186393,1.9267633265091564,1.8090056453546564
2021-02-26,1.9557810347747464,1.5435211224945578,2.036708823841183,1.9037279126328455
2021-03-31,2.0246245271988172,1.6491808689806335,2.188090578819628,2.0433741255878797
2021-04-30,2.1284877654441163,1.727656465673078,2.307952245688867,2.1579184147435795
2021-05-28,2.1431743310256803,1.791619719079622,2.3394026531472814,2.178326886910749
2021-06-30,2.1926816580723734,1.7671204737467896,2.3019575875370104,2.1371223877136822
2021-07-30,2.2196516424666637,1.7795077383705042,2.3193408408806913,2.1597624293077495
2021-08-31,2.282023853619977,1.828967278287041,2.38742860072365,2.22966456242737
2021-09-30,2.184353232685042,1.8045586101912365,2.304591159015838,2.145234204115713
2021-10-29,2.330049593305134,1.9035457285893191,2.395230554712084,2.2374337415346917
2021-11-30,2.287642690706981,1.8455049944877835,2.309054059059245,2.1546873713751182
2021-12-31,2.3677101848817252,1.960259632019097,2.4208297393993696,2.2528254647732258
2022-01-31,2.231803620269514,1.8944728840057667,2.3495170712118156,2.18156725898732
2022-02-28,2.182257579899531,1.9476996034813299,2.3016993397408423,2.1546360295664693
2022-03-31,2.2538356285202354,2.008056613275309,2.4064320705909164,2.257375716280932
2022-04-29,2.048961969887746,1.9082654551637614,2.29857607320758,2.1465032580904357
2022-05-31,2.047117904114847,1.952779524446093,2.3254467125258036,2.166271132234751
2022-06-30,1.8751600001692,1.7545467202315927,2.1041133631138185,1.972083429708523
2022-07-29,2.049924912184969,1.9043068082756305,2.2567945472234565,2.11183911871175
2022-08-31,1.9765376003287474,1.8501469460962494,2.192576061060381,2.0543313019894622
2022-09-30,1.7964750249387986,1.6839029357935955,1.9583431304419132,1.8287390992617367
2022-10-31,1.9436063294812864,1.8706375537132849,2.143110069902123,2.0240141845389257
2022-11-30,2.04292461291778,1.970195762138478,2.3068773297484833,2.175275346612278
2022-12-30,1.9209620135265884,1.8725583419246874,2.2260862790184177,2.086276968918159
2023-01-31,2.057734508889682,1.9955609261353193,2.394887188870898,2.267386813637404
2023-02-28,2.0095835213816633,1.9256882726225888,2.3299729771379747,2.2059173816295665
2023-03-31,2.062837484698277,1.8971453908299558,2.3556222382741256,2.2170247391614732
2023-04-28,2.0842909945391392,1.9072751337560783,2.3640214078695636,2.218485715939269
2023-05-31,2.0897101511249407,1.8067197711646283,2.3043499361757287,2.1496985364116354
2023-06-30,2.233482209522337,1.9593939287132336,2.526359946402218,2.3713023913438938
2023-07-31,2.313887569065141,2.039566441069222,2.6154367220804344,2.4618485503364576
2023-08-31,2.2678412064407447,1.996153975651292,2.54268708113855,2.3821853938610116
2023-09-29,2.162159806220606,1.9209127304942262,2.4170785956681455,2.2597257562054835
2023-10-31,2.100322035762697,1.8624308649368546,2.297591675201972,2.155248354414229
2023-11-30,2.2946018240707464,2.034931019167224,2.5002324292696256,2.3512768019702124
2023-12-29,2.415756800381682,2.155974354501139,2.660146570645316,2.515476508758431
2024-01-31,2.4420885495058418,2.130613844902505,2.633572665461978,2.4970917831311636
2024-02-29,2.5702981983548985,2.2285964706929122,2.774201371840521,2.648898601521076
2024-03-28,2.654603979260939,2.3418273994785253,2.94454681644034,2.791444216960999
2024-04-30,2.5436415329278317,2.2205316107369484,2.8444960829470363,2.677452817046458
2024-05-31,2.6626839566688543,2.2999731261188274,2.93924030323232,2.775897715271901
2024-06-28,2.7383041810382496,2.3078330261586752,2.918632961012952,2.7769605304227043
2024-07-31,2.7911534517322876,2.4467121203455355,3.047468527300588,2.8953024083725407
2024-08-30,2.8514423662897044,2.506878379108858,3.083273163396446,2.9632033196149297
2024-09-30,2.911607800218417,2.5596086665486673,3.1643138627406397,3.0315948856804855
2024-10-31,2.8918088671769318,2.549759342455152,3.170324654307616,2.995140716318261
2024-11-29,3.088741051031681,2.742144604911996,3.40354618730527,3.2078621674703967
2024-12-31,2.9936078266599053,2.5331799246401605,3.1750741226505244,2.9958230265210046
