,Low people,High people,Low planet,High planet,Low prosperity,High prosperity
alpha,0.15,-0.12,-0.05,0.21,0.11,-0.0
beta_mkt,0.97,1.07,1.05,0.94,1.04,1.01
beta_smb,0.07,0.12,0.12,0.05,0.04,0.13
beta_hml,0.24,0.37,0.32,0.21,0.29,0.33
p-value(alpha),0.3,0.43,0.72,0.18,0.41,0.99
p-value(beta_mkt),0.0,0.0,0.0,0.0,0.0,0.0
p-value(beta_smb),0.21,0.04,0.04,0.39,0.5,0.01
p-value(beta_hml),0.0,0.0,0.0,0.0,0.0,0.0
Adj. R^2,0.92,0.93,0.94,0.9,0.94,0.95
