,Sharpe,VaR 1%,Max Drawdown,Alpha,p-value(alpha)
Market,0.51,-10.91%,-28.18%,,
High transf,0.55,-11.06%,-27.27%,0.19,0.100
Sector equal split transf,0.67,-11.17%,-26.18%,0.32,0.010
MSCI benchmark,0.35,-9.65%,-26.82%,,
