,Sharpe,VaR 1%,Max Drawdown,Alpha,p-value(alpha)
Market,0.86,-9.25%,-24.13%,,
High transformation,0.92,-9.83%,-21.86%,0.28,0.000
High preparation,0.77,-10.24%,-29.19%,0.07,0.540
High advocacy,0.82,-10.23%,-32.67%,0.21,0.060
Low advocacy,0.86,-10.59%,-25.31%,0.19,0.040
